ID,Rank,Rarity_Score,Attributes-Scores,Background-Scores,Clothes-Scores,Earring-Scores,Eyes-Scores,Fur-Scores,Hat-Scores,Mouth-Scores
6625,2065,216.9518067175815,5,7,84,11,23,7,73,4
7140,2066,216.93833111711717,1,8,147,1,5,12,32,6
177,2067,216.88908461027955,1,8,105,1,25,7,53,14
7481,2068,216.88678267119337,1,7,53,1,20,12,112,6
8332,2069,216.84058868457242,1,7,69,1,11,37,44,42
5270,2070,216.79970132922023,5,7,71,11,28,20,30,41
6612,2071,216.78017732898059,5,8,35,45,20,12,83,6
6131,2072,216.73073240222254,3,8,5,1,92,7,84,14
5836,2073,216.7147181491733,1,8,105,1,24,37,32,4
5325,2074,216.67526473730288,1,8,49,1,11,25,112,6
9327,2075,216.63803334836382,5,8,35,45,37,7,54,22
9002,2076,216.63580752412588,5,8,53,22,13,7,44,61
9959,2077,216.6219798975428,1,7,56,1,45,33,34,36
6632,2078,216.61265074262772,1,8,69,1,42,12,73,6
1771,2079,216.6080071105637,1,8,43,1,18,46,83,14
7041,2080,216.58616735611895,1,8,46,1,23,7,90,36
5274,2081,216.55674667730196,1,7,95,1,20,7,44,37
538,2082,216.53830754952057,1,7,35,1,20,7,43,99
4403,2083,216.49446402987667,3,7,5,1,20,8,138,30
7752,2084,216.46070943962275,1,7,46,12,24,20,4,99
1172,2085,216.35678730098556,1,8,105,1,5,15,73,4
5972,2086,216.34622435031974,3,8,156,1,18,19,4,4
1174,2087,216.318510261344,3,7,5,1,41,12,34,109
7026,2088,216.27591097790173,5,7,49,67,28,7,44,6
83,2089,216.23268972189774,1,8,70,1,20,15,90,6
4717,2090,216.15374919152552,5,7,69,11,20,20,76,4
2296,2091,216.13962294569018,1,8,147,21,20,7,4,4
245,2092,215.98988327342258,5,8,39,22,28,24,66,19
5310,2093,215.98440878580942,1,7,95,1,11,7,84,6
8385,2094,215.920291988887,1,7,41,1,23,21,112,6
3745,2095,215.91805754762638,1,8,97,11,23,8,4,61
3312,2096,215.86201792803905,1,7,69,1,24,64,39,6
6081,2097,215.8203063747385,1,7,42,1,23,37,17,84
9356,2098,215.80920739909502,1,8,46,1,20,7,53,75
1232,2099,215.71872705051442,1,8,97,1,13,46,42,4
4250,2100,215.69003284789738,3,8,147,1,28,8,4,14
4389,2101,215.63300554554408,1,8,5,21,37,25,28,86
