ID,Name,Rank,Rarity_Score,Attributes-Scores,Centered-Scores,Color Palette-Scores,Extra Rotation-Scores,Outlined-Scores,Padding-Scores,Petals-Scores,Segments-Scores,Shape Type-Scores,Shrink-Scores,Use Palette Background-Scores
546,Hash Three Points #546,101,120.91266293466546,1,1,16,42,1,15,14,3,5,17,1
858,Hash Three Points #858,102,120.63248924843722,1,1,17,42,1,17,17,2,1,16,2
264,Hash Three Points #264,103,120.20827667616068,1,1,15,48,1,13,14,3,1,17,1
367,Hash Three Points #367,104,120.14446321244999,1,1,17,53,1,1,20,3,1,16,2
242,Hash Three Points #242,105,120.14041889520999,1,1,17,42,1,14,14,2,5,18,2
887,Hash Three Points #887,106,120.02375672141615,1,1,15,39,1,22,20,2,1,14,1
110,Hash Three Points #110,107,119.38742282580178,1,1,7,48,1,22,14,3,1,15,1
52,Hash Three Points #52,108,119.27007869041363,1,16,15,33,1,13,16,2,1,17,1
429,Hash Three Points #429,109,119.21023047913374,1,1,7,48,1,14,20,3,5,14,1
98,Hash Three Points #98,110,119.16413423859103,1,1,15,46,1,15,14,2,5,14,2
426,Hash Three Points #426,111,118.91309961328454,1,1,16,53,3,1,16,3,1,17,2
355,Hash Three Points #355,112,118.90251109376683,1,1,18,53,3,1,16,2,1,17,1
299,Hash Three Points #299,113,118.81607203974755,1,1,18,53,1,1,14,3,1,18,1
666,Hash Three Points #666,114,118.80544396924874,1,16,15,22,1,22,16,3,1,16,2
89,Hash Three Points #89,115,118.32488117549813,1,1,14,48,1,15,17,2,1,13,1
993,Hash Three Points #993,116,118.15657477080484,1,16,16,39,3,1,13,3,1,18,1
681,Hash Three Points #681,117,118.09358901310787,1,1,16,46,1,13,16,3,1,15,2
597,Hash Three Points #597,118,117.96700379334256,1,16,14,22,1,22,16,2,1,18,2
354,Hash Three Points #354,119,117.90170807499707,1,16,14,39,3,1,13,3,1,20,1
746,Hash Three Points #746,120,117.84166118547883,1,1,17,33,1,22,16,3,1,17,2
243,Hash Three Points #243,121,117.68383957838766,1,1,17,53,1,1,20,2,1,15,2
723,Hash Three Points #723,122,117.64881086603975,1,1,15,31,3,15,20,3,5,18,1
1006,Hash Three Points #1006,123,117.47020534022946,1,1,15,42,1,15,17,2,5,13,2
468,Hash Three Points #468,124,117.16371590974884,1,1,17,42,3,13,16,2,1,16,1
654,Hash Three Points #654,125,117.0956992566278,1,1,16,39,1,15,14,3,5,16,2
343,Hash Three Points #343,126,117.00114991253972,1,1,14,53,1,1,20,3,1,16,2
482,Hash Three Points #482,127,116.91407202224241,1,1,16,53,1,1,20,2,1,16,2
95,Hash Three Points #95,128,116.63939435316922,1,1,17,42,3,13,16,2,1,16,1
266,Hash Three Points #266,129,116.46403076260606,1,1,16,42,1,15,16,2,1,16,1
832,Hash Three Points #832,130,116.25438740440521,1,1,14,39,1,17,17,3,5,14,1
747,Hash Three Points #747,131,116.12892350686259,1,1,17,31,3,22,16,3,1,16,1
901,Hash Three Points #901,132,116.09759905885798,1,1,15,53,1,1,16,3,1,17,1
828,Hash Three Points #828,133,116.02459343468198,1,1,16,53,1,1,16,3,1,16,1
374,Hash Three Points #374,134,115.94121507809074,1,1,17,46,3,1,16,3,1,20,1
949,Hash Three Points #949,135,115.91884248461619,1,1,16,39,1,15,16,2,5,15,1
167,Hash Three Points #167,136,115.84495373482926,1,1,14,53,3,1,14,3,1,18,2
566,Hash Three Points #566,137,115.78151370130769,1,16,17,17,1,22,17,3,1,16,1
567,Hash Three Points #567,138,115.60695523063075,1,1,18,53,1,1,14,3,1,15,1
105,Hash Three Points #105,139,115.549166857175,1,1,14,48,3,1,20,3,1,17,1
138,Hash Three Points #138,140,115.46347364478416,1,1,7,42,1,15,17,3,5,17,2
259,Hash Three Points #259,141,115.37349573955095,1,1,17,30,3,22,17,3,1,16,1
356,Hash Three Points #356,142,115.24557003593563,1,1,15,53,1,1,16,3,1,17,2
51,Hash Three Points #51,143,115.17170629030738,1,1,18,39,1,14,16,2,5,13,2
267,Hash Three Points #267,144,114.96411181304242,1,1,15,42,1,15,16,3,1,13,2
757,Hash Three Points #757,145,114.88523286430421,1,1,17,42,1,15,14,3,1,14,1
645,Hash Three Points #645,146,114.80105405869266,1,1,17,33,1,22,16,2,1,16,2
146,Hash Three Points #146,147,114.7429268555118,1,16,15,22,3,17,13,3,5,14,1
897,Hash Three Points #897,148,114.6244476873751,1,16,17,22,3,17,14,2,5,13,1
730,Hash Three Points #730,149,114.59799682337736,1,1,16,31,3,22,16,2,1,17,2
679,Hash Three Points #679,150,114.52778058278247,1,1,15,33,3,15,16,3,5,17,1
821,Hash Three Points #821,151,114.28179125457955,1,1,15,53,1,1,14,3,1,17,2
281,Hash Three Points #281,152,114.14869371029218,1,1,15,53,1,1,16,3,1,15,1
455,Hash Three Points #455,153,114.04807436625953,1,1,15,48,1,1,16,3,1,20,2
611,Hash Three Points #611,154,114.04583825213466,1,1,14,31,3,22,16,3,1,17,2
614,Hash Three Points #614,155,113.92241881434468,1,1,7,53,1,13,14,3,1,14,1
322,Hash Three Points #322,156,113.80949752617892,1,1,15,53,3,1,16,3,1,13,2
524,Hash Three Points #524,157,113.78331337442836,1,1,17,53,1,1,16,2,1,15,2
810,Hash Three Points #810,158,113.71667243500644,1,1,18,48,1,1,14,2,1,20,1
366,Hash Three Points #366,159,113.67944861295051,1,1,7,53,3,1,20,3,1,17,1
889,Hash Three Points #889,160,113.5678493689511,1,1,16,42,3,13,16,2,1,13,2
485,Hash Three Points #485,161,113.47867097510007,1,1,17,31,1,17,17,2,5,17,2
556,Hash Three Points #556,162,113.28493593090715,1,1,17,53,1,1,16,2,1,14,2
646,Hash Three Points #646,163,113.17722267595967,1,1,17,39,3,15,14,3,1,13,1
1015,Hash Three Points #1015,164,112.99898462774078,1,1,15,30,1,22,20,2,1,16,2
607,Hash Three Points #607,165,112.73269560606442,1,1,18,26,3,22,16,3,1,15,1
76,Hash Three Points #76,166,112.67762538914387,1,1,7,39,1,17,20,2,1,18,1
447,Hash Three Points #447,167,112.67316582222543,1,1,18,27,1,17,17,3,5,16,1
334,Hash Three Points #334,168,112.63535177150368,1,1,15,53,1,1,16,2,1,16,2
731,Hash Three Points #731,169,112.61430784629736,1,1,14,31,1,22,16,3,1,17,1
331,Hash Three Points #331,170,112.4839257778559,1,1,17,53,1,1,14,3,1,14,2
257,Hash Three Points #257,171,112.46164683067545,1,1,15,53,3,1,16,2,1,14,2
440,Hash Three Points #440,172,112.33338100649098,1,1,17,26,1,17,16,3,5,20,2
839,Hash Three Points #839,173,112.33285254817554,1,1,17,42,1,13,16,2,1,14,1
748,Hash Three Points #748,174,112.31243538899378,1,1,15,30,3,17,14,3,5,18,2
291,Hash Three Points #291,175,112.31162675809927,1,1,15,53,3,1,14,3,1,13,2
674,Hash Three Points #674,176,112.27187218232817,1,1,15,53,1,1,16,3,1,13,1
48,Hash Three Points #48,177,112.24476631431284,1,1,18,24,3,17,20,3,1,17,1
926,Hash Three Points #926,178,112.11960443295936,1,1,15,53,1,1,16,2,1,15,1
68,Hash Three Points #68,179,112.08103439963551,1,16,15,22,3,14,13,2,5,16,2
41,Hash Three Points #41,180,112.0028774282698,1,16,17,22,1,15,14,3,1,16,1
317,Hash Three Points #317,181,112.0024599944205,1,1,16,39,1,15,16,2,1,15,2
616,Hash Three Points #616,182,111.92466666460476,1,16,7,22,1,17,20,3,5,15,2
549,Hash Three Points #549,183,111.66847082052682,1,16,14,22,1,17,16,3,1,15,2
303,Hash Three Points #303,184,111.58321541496906,1,1,15,30,3,22,17,3,1,13,2
523,Hash Three Points #523,185,111.55825797177081,1,1,15,30,1,22,17,3,1,15,1
706,Hash Three Points #706,186,111.52352376190272,1,16,7,22,1,22,14,3,1,18,1
394,Hash Three Points #394,187,111.52317868973569,1,1,17,30,3,22,13,2,1,16,2
827,Hash Three Points #827,188,111.47621821504076,1,1,14,53,3,1,16,2,1,14,2
410,Hash Three Points #410,189,111.42958247651191,1,1,14,53,1,1,17,2,1,15,2
758,Hash Three Points #758,190,111.42596847849896,1,1,17,33,1,14,16,3,5,16,2
621,Hash Three Points #621,191,111.4089150528024,1,16,15,39,1,1,13,2,1,17,1
712,Hash Three Points #712,192,111.31671433449395,1,1,16,30,3,15,16,2,5,17,2
582,Hash Three Points #582,193,111.10222424974347,1,1,16,48,1,1,20,2,1,15,2
250,Hash Three Points #250,194,110.99680786496843,1,16,16,22,1,13,13,2,1,20,1
359,Hash Three Points #359,195,110.96901642768746,1,16,15,22,3,13,17,2,1,16,2
220,Hash Three Points #220,196,110.96271407309911,1,1,17,31,1,17,17,2,5,15,1
495,Hash Three Points #495,197,110.89598389856745,1,1,18,24,3,22,16,2,1,17,1
764,Hash Three Points #764,198,110.87436195340123,1,1,15,53,1,1,16,2,1,14,2
750,Hash Three Points #750,199,110.80058530223587,1,1,16,30,3,15,16,2,5,17,2
91,Hash Three Points #91,200,110.64660203591221,1,1,17,31,1,15,20,2,1,17,2
910,Hash Three Points #910,201,110.59987851026354,1,16,18,17,1,15,17,2,5,13,1
409,Hash Three Points #409,202,110.39443777442591,1,1,15,53,3,1,14,2,1,13,1
793,Hash Three Points #793,203,110.37020638409689,1,1,18,42,3,1,16,3,1,17,1
62,Hash Three Points #62,204,110.25954788316298,1,1,17,26,3,17,16,3,5,16,1
69,Hash Three Points #69,205,110.19645431668724,1,1,17,30,3,15,16,2,5,16,1
918,Hash Three Points #918,206,110.17893257377281,1,1,18,24,1,22,17,3,1,16,1
229,Hash Three Points #229,207,109.98633403526465,1,16,15,22,1,15,16,3,1,13,2
391,Hash Three Points #391,208,109.8869780582269,1,1,17,31,3,14,17,3,5,13,1
287,Hash Three Points #287,209,109.88023706087668,1,1,17,24,3,17,17,2,5,18,2
219,Hash Three Points #219,210,109.83145461051103,1,1,16,31,3,17,16,2,5,14,1
928,Hash Three Points #928,211,109.81040025182759,1,1,14,39,1,17,14,2,1,15,1
494,Hash Three Points #494,212,109.73685526659544,1,1,16,27,3,22,14,3,1,16,1
541,Hash Three Points #541,213,109.61551636241171,1,1,18,46,3,1,14,3,1,15,1
890,Hash Three Points #890,214,109.61421033135142,1,1,18,24,1,15,17,3,5,18,1
552,Hash Three Points #552,215,109.52662063400541,1,1,14,53,1,1,16,2,1,14,1
509,Hash Three Points #509,216,109.51901027455568,1,1,7,39,3,13,20,3,1,16,1
978,Hash Three Points #978,217,109.30057647243305,1,1,17,26,3,15,16,3,5,16,2
976,Hash Three Points #976,218,109.27105864325478,1,1,16,27,3,15,16,3,5,16,2
252,Hash Three Points #252,219,109.22635240977715,1,1,7,46,1,15,16,2,1,13,2
491,Hash Three Points #491,220,109.18287236534616,1,1,15,48,1,1,16,2,1,17,2
710,Hash Three Points #710,221,109.1342775692207,1,1,7,53,1,1,20,3,1,15,1
983,Hash Three Points #983,222,108.94914437267377,1,1,16,26,1,15,20,3,5,16,2
323,Hash Three Points #323,223,108.93593283156434,1,1,16,24,3,15,20,2,5,17,2
763,Hash Three Points #763,224,108.93372199664938,1,1,14,31,3,15,14,2,5,18,1
137,Hash Three Points #137,225,108.92173768745927,1,1,16,27,1,22,17,3,1,15,2
815,Hash Three Points #815,226,108.84853545467561,1,1,15,24,3,17,13,3,5,20,2
46,Hash Three Points #46,227,108.7409746165011,1,1,16,31,1,22,14,2,1,15,1
623,Hash Three Points #623,228,108.74085874468065,1,1,17,24,1,17,17,3,5,17,2
163,Hash Three Points #163,229,108.72451444912164,1,1,15,46,3,1,16,2,1,17,1
168,Hash Three Points #168,230,108.6852591484412,1,1,15,26,1,22,16,3,1,16,1
503,Hash Three Points #503,231,108.6575575899559,1,1,17,26,1,22,17,3,1,15,1
634,Hash Three Points #634,232,108.6209351975704,1,1,15,31,1,22,17,2,1,14,1
950,Hash Three Points #950,233,108.59526796943494,1,16,7,22,1,15,16,3,5,16,1
502,Hash Three Points #502,234,108.3941405668582,1,1,17,24,1,14,20,3,5,17,1
228,Hash Three Points #228,235,108.38733255569934,1,1,17,27,1,14,17,3,5,17,2
794,Hash Three Points #794,236,108.35886401953371,1,16,16,30,1,1,17,3,1,16,1
225,Hash Three Points #225,237,108.04921337096297,1,1,17,46,1,1,16,3,1,15,1
99,Hash Three Points #99,238,107.83928120994626,1,1,17,24,3,22,16,2,1,17,1
732,Hash Three Points #732,239,107.77675583783476,1,1,14,33,1,17,14,3,1,17,2
45,Hash Three Points #45,240,107.77145377303776,1,1,15,24,1,15,16,3,5,20,2
829,Hash Three Points #829,241,107.75310498637512,1,1,16,27,1,15,17,3,5,16,1
784,Hash Three Points #784,242,107.70651939743391,1,1,18,26,1,17,17,3,5,13,1
127,Hash Three Points #127,243,107.6960274555381,1,1,14,24,1,22,17,2,1,20,2
35,Hash Three Points #35,244,107.58176819164373,1,1,16,31,1,14,16,2,5,16,2
847,Hash Three Points #847,245,107.56112300053938,1,16,7,22,3,13,20,3,1,16,1
360,Hash Three Points #360,246,107.49735918381371,1,1,17,24,1,22,17,2,1,17,1
155,Hash Three Points #155,247,107.45114938127156,1,1,16,24,3,17,16,2,1,20,2
182,Hash Three Points #182,248,107.37296533677011,1,1,15,26,1,22,16,3,1,16,2
581,Hash Three Points #581,249,107.34678087745115,1,1,16,24,1,22,17,3,1,15,2
535,Hash Three Points #535,250,107.2944257194785,1,1,15,31,3,15,14,3,1,17,1
239,Hash Three Points #239,251,107.18368299837498,1,1,17,26,1,22,13,3,1,16,1
779,Hash Three Points #779,252,107.16675524034649,1,1,17,31,3,13,16,3,1,16,1
118,Hash Three Points #118,253,107.10477402580675,1,1,16,31,1,15,17,2,1,17,2
97,Hash Three Points #97,254,107.08915640898704,1,1,7,42,1,15,14,2,5,14,1
382,Hash Three Points #382,255,107.06460276031223,1,1,15,24,3,22,17,2,1,15,2
297,Hash Three Points #297,256,107.05839049729121,1,1,15,26,1,17,16,3,5,17,1
438,Hash Three Points #438,257,106.98741907861336,1,1,17,30,1,17,14,3,5,14,1
631,Hash Three Points #631,258,106.96836944266141,1,1,14,46,3,1,16,3,1,15,1
945,Hash Three Points #945,259,106.91823232943491,1,1,16,30,1,22,13,3,1,14,2
529,Hash Three Points #529,260,106.88408867419574,1,1,15,30,3,15,16,3,1,16,2
762,Hash Three Points #762,261,106.7736117286787,1,16,14,30,1,1,17,3,1,17,1
157,Hash Three Points #157,262,106.74265928384109,1,1,16,31,1,17,14,3,1,16,1
770,Hash Three Points #770,263,106.73275774086666,1,1,7,39,1,14,17,3,5,14,2
460,Hash Three Points #460,264,106.61931683161167,1,1,16,24,1,22,16,3,1,16,2
87,Hash Three Points #87,265,106.58858140328572,1,1,16,33,3,15,14,2,1,16,1
54,Hash Three Points #54,266,106.58626311751819,1,1,17,19,3,15,16,3,5,20,2
862,Hash Three Points #862,267,106.55536748525444,1,1,16,24,3,15,16,3,5,16,1
512,Hash Three Points #512,268,106.50496361191796,1,1,18,26,1,15,13,3,5,16,1
527,Hash Three Points #527,269,106.37565539698217,1,1,17,46,1,1,16,3,1,13,2
701,Hash Three Points #701,270,106.37280889264167,1,1,14,46,1,1,16,3,1,16,1
307,Hash Three Points #307,271,106.34601337640034,1,1,15,48,1,1,16,3,1,13,1
1011,Hash Three Points #1011,272,106.30587221282656,1,1,17,26,1,17,16,3,5,14,1
