ID,Name,Rank,Rarity_Score,Attributes-Scores,Centered-Scores,Color Palette-Scores,Extra Rotation-Scores,Outlined-Scores,Padding-Scores,Petals-Scores,Segments-Scores,Shape Type-Scores,Shrink-Scores,Use Palette Background-Scores,X Movement-Scores,Y Movement-Scores
521,Hash Three Points #521,943,208.21975626087934,1,1,14,26,1,13,16,2,1,17,1,68,42
416,Hash Three Points #416,944,207.6914251710304,1,1,17,24,3,15,14,2,5,14,1,13,93
988,Hash Three Points #988,945,206.8941041193948,1,1,15,22,1,1,14,2,1,15,1,68,60
679,Hash Three Points #679,946,206.25903666846895,1,1,15,33,3,15,16,3,5,17,1,78,12
270,Hash Three Points #270,947,205.81755962853873,1,1,7,21,1,17,14,3,5,15,1,102,12
155,Hash Three Points #155,948,205.7465080310606,1,1,16,24,3,17,16,2,1,20,2,85,12
755,Hash Three Points #755,949,205.54354107693624,1,1,7,26,1,1,17,3,1,17,1,68,56
276,Hash Three Points #276,950,202.42208030860292,1,1,15,22,3,15,16,3,1,14,2,13,93
541,Hash Three Points #541,951,201.3467724480982,1,1,18,46,3,1,14,3,1,15,1,78,12
981,Hash Three Points #981,952,200.39959868292522,1,1,15,21,1,14,16,2,5,14,2,93,12
516,Hash Three Points #516,953,199.73673874267922,1,1,7,19,1,1,14,2,1,14,2,73,60
1020,Hash Three Points #1020,954,198.33337196992684,1,1,15,24,3,17,13,3,5,16,2,51,42
587,Hash Three Points #587,955,196.3557715367518,1,1,7,53,3,1,16,2,1,14,1,78,12
502,Hash Three Points #502,956,194.66520283792045,1,1,17,24,1,14,20,3,5,17,1,13,73
291,Hash Three Points #291,957,193.54031874122165,1,1,15,53,3,1,14,3,1,13,2,68,12
285,Hash Three Points #285,958,192.08937841111867,1,1,15,20,1,22,13,3,1,17,2,13,78
644,Hash Three Points #644,959,188.32277491614917,1,16,17,85,1,1,17,3,1,15,2,13,12
462,Hash Three Points #462,960,183.3613819089356,1,1,15,26,1,17,17,3,1,13,1,13,68
215,Hash Three Points #215,961,179.68077984944028,1,1,17,27,1,1,16,3,1,14,1,78,12
411,Hash Three Points #411,962,168.90844802050617,1,1,7,24,1,1,13,2,1,14,1,13,85
483,Hash Three Points #483,963,159.7118884709983,1,1,7,24,1,13,16,3,1,17,2,13,56
854,Hash Three Points #854,964,155.8558527656525,1,16,15,33,1,17,16,3,5,18,1,13,12
742,Hash Three Points #742,965,152.99399416035772,1,16,15,39,1,14,13,2,5,16,1,13,12
694,Hash Three Points #694,966,151.38404384574997,1,16,17,46,3,1,16,3,1,15,2,13,12
60,Hash Three Points #60,967,150.2333063369138,1,1,15,24,3,1,16,3,1,15,1,51,12
805,Hash Three Points #805,968,148.25623230584816,1,16,14,33,1,17,16,2,5,14,1,13,12
1005,Hash Three Points #1005,969,147.5435502151217,1,16,18,22,3,15,16,3,5,16,1,13,12
427,Hash Three Points #427,970,147.2539620815702,1,16,17,22,3,22,16,2,1,16,2,13,12
52,Hash Three Points #52,971,145.36030913507446,1,16,15,33,1,13,16,2,1,17,1,13,12
666,Hash Three Points #666,972,144.89567441390957,1,16,15,22,1,22,16,3,1,16,2,13,12
993,Hash Three Points #993,973,144.24680521546568,1,16,16,39,3,1,13,3,1,18,1,13,12
597,Hash Three Points #597,974,144.0572342380034,1,16,14,22,1,22,16,2,1,18,2,13,12
354,Hash Three Points #354,975,143.9919385196579,1,16,14,39,3,1,13,3,1,20,1,13,12
566,Hash Three Points #566,976,141.8717441459685,1,16,17,17,1,22,17,3,1,16,1,13,12
146,Hash Three Points #146,977,140.83315730017262,1,16,15,22,3,17,13,3,5,14,1,13,12
897,Hash Three Points #897,978,140.7146781320359,1,16,17,22,3,17,14,2,5,13,1,13,12
68,Hash Three Points #68,979,138.17126484429633,1,16,15,22,3,14,13,2,5,16,2,13,12
41,Hash Three Points #41,980,138.09310787293063,1,16,17,22,1,15,14,3,1,16,1,13,12
616,Hash Three Points #616,981,138.01489710926558,1,16,7,22,1,17,20,3,5,15,2,13,12
549,Hash Three Points #549,982,137.75870126518765,1,16,14,22,1,17,16,3,1,15,2,13,12
706,Hash Three Points #706,983,137.61375420656356,1,16,7,22,1,22,14,3,1,18,1,13,12
621,Hash Three Points #621,984,137.49914549746322,1,16,15,39,1,1,13,2,1,17,1,13,12
250,Hash Three Points #250,985,137.08703830962926,1,16,16,22,1,13,13,2,1,20,1,13,12
359,Hash Three Points #359,986,137.0592468723483,1,16,15,22,3,13,17,2,1,16,2,13,12
910,Hash Three Points #910,987,136.69010895492437,1,16,18,17,1,15,17,2,5,13,1,13,12
229,Hash Three Points #229,988,136.07656447992548,1,16,15,22,1,15,16,3,1,13,2,13,12
950,Hash Three Points #950,989,134.68549841409578,1,16,7,22,1,15,16,3,5,16,1,13,12
794,Hash Three Points #794,990,134.44909446419453,1,16,16,30,1,1,17,3,1,16,1,13,12
847,Hash Three Points #847,991,133.65135344520021,1,16,7,22,3,13,20,3,1,16,1,13,12
762,Hash Three Points #762,992,132.86384217333952,1,16,14,30,1,1,17,3,1,17,1,13,12
796,Hash Three Points #796,993,132.16404694949037,1,16,7,22,1,13,16,3,1,20,1,13,12
341,Hash Three Points #341,994,131.6175316286369,1,16,15,33,1,1,16,3,1,13,1,13,12
826,Hash Three Points #826,995,129.45178446868815,1,16,17,22,1,1,20,3,1,15,2,13,12
71,Hash Three Points #71,996,127.35136945034641,1,16,17,22,3,1,16,3,1,15,2,13,12
162,Hash Three Points #162,997,127.11770647550104,1,16,18,22,1,1,13,3,1,17,1,13,12
768,Hash Three Points #768,998,126.92451662450566,1,16,17,22,1,1,16,3,1,17,1,13,12
115,Hash Three Points #115,999,126.54867526278245,1,16,17,22,1,1,17,2,1,17,1,13,12
412,Hash Three Points #412,1000,126.40902028390208,1,16,18,22,1,1,17,3,1,14,1,13,12
574,Hash Three Points #574,1001,126.08613958166443,1,16,16,22,1,1,17,2,1,17,2,13,12
113,Hash Three Points #113,1002,125.97839510988472,1,16,18,17,1,1,17,2,1,20,1,13,12
249,Hash Three Points #249,1003,125.42647446847955,1,16,17,22,1,1,16,3,1,15,1,13,12
415,Hash Three Points #415,1004,125.30502515839791,1,16,16,22,3,1,16,2,1,15,2,13,12
801,Hash Three Points #801,1005,125.02735951326942,1,16,14,22,3,1,17,2,1,16,2,13,12
422,Hash Three Points #422,1006,124.29601040752881,1,16,17,22,1,1,14,3,1,16,2,13,12
274,Hash Three Points #274,1007,124.23371728641092,1,16,17,22,1,1,13,2,1,17,2,13,12
