ID,Name,Rank,Rarity_Score,Accessory-Scores,Attributes-Scores,Background-Scores,Clothes-Scores,Eyes-Scores,Head-Scores,Legendary-Scores,Mouth-Scores,Skin-Scores,Tattoo-Scores
3098,SadPython #3098,271,141.59434066212322,45,2,5,31,8,,,13,8,26
2557,SadPython #2557,272,141.58191894865547,41,2,4,32,11,22,,13,12,
2848,SadPython #2848,273,141.4333887840218,57,2,4,12,9,29,,16,9,
3008,SadPython #3008,274,140.99019995615046,27,2,5,18,13,51,,13,9,
1205,SadPython #1205,275,140.8792207792208,76,2,4,12,16,,,13,14,
1035,SadPython #1035,276,140.80546036795354,,2,5,76,9,20,,17,9,
2943,SadPython #2943,277,140.7926528277215,48,2,4,22,12,30,,11,7,
3330,SadPython #3330,278,140.6950192020606,28,2,5,51,8,20,,11,12,
2334,SadPython #2334,279,140.62573495929036,,2,4,65,8,29,,15,14,
554,SadPython #554,280,140.54182084976455,51,2,5,15,8,32,,16,9,
3054,SadPython #3054,281,140.3496615290415,43,2,5,14,13,29,,20,10,
1080,SadPython #1080,282,140.33296806362392,28,2,5,22,9,41,,15,14,
2823,SadPython #2823,283,140.23199647645814,28,2,5,31,9,,,14,10,38
1803,SadPython #1803,284,140.21405162687662,83,2,5,11,12,,,17,8,
1258,SadPython #1258,285,140.10449778942927,48,2,4,22,9,26,,17,8,
3001,SadPython #3001,286,139.9402949988369,,8,5,83,16,,,13,12,
3429,SadPython #3429,287,139.66370741883705,57,2,5,12,16,21,,13,9,
2616,SadPython #2616,288,139.15514979693563,45,2,5,14,10,,,13,8,38
66,SadPython #66,289,139.05170089804145,76,2,4,19,9,,,13,12,
202,SadPython #202,290,138.86594003822265,27,2,4,32,9,35,,14,12,
571,SadPython #571,291,138.81241829620672,45,2,4,11,13,20,,31,8,
175,SadPython #175,292,138.18583784570598,57,2,5,15,10,22,,12,12,
2812,SadPython #2812,293,138.11945988793815,57,2,4,14,9,27,,14,7,
714,SadPython #714,294,138.00492425111656,48,2,5,15,9,29,,19,7,
908,SadPython #908,295,137.9173458284319,65,2,4,31,11,,,12,8,
2100,SadPython #2100,296,137.8422416713721,45,2,5,22,11,20,,20,8,
345,SadPython #345,297,137.68308865047996,45,2,4,19,11,27,,17,8,
2224,SadPython #2224,298,137.57357792594541,30,2,4,65,9,,,11,12,
1052,SadPython #1052,299,137.50706521739133,28,2,4,12,12,51,,17,7,
513,SadPython #513,300,137.33051144670955,51,2,5,18,16,20,,14,8,
2324,SadPython #2324,301,137.31531593276043,29,2,5,21,10,36,,20,9,
297,SadPython #297,302,137.02645559409535,,2,5,18,19,30,,13,7,38
706,SadPython #706,303,136.93621782366156,48,2,5,13,19,21,,16,9,
1658,SadPython #1658,304,136.86767035016425,20,2,4,18,9,57,,12,10,
313,SadPython #313,305,136.72525974025973,41,2,5,51,16,,,11,8,
