ID,Name,Rank,Rarity_Score,Animal,Attributes,Beard,Boots,Hat,Jacket,Pants,Profession,Sword,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
386,MAD EMMIT | TEZOS PIRATE 386/666,101,51.9966998658,Rare Animal,8,Common Beard,Common Boots,Epic Hat,Common Jacket,Rare Pants,Quartermaster,Uncommon Sword,ipfs://QmQCy1ut5KZWXJksNyv5ZbnUJZ69BoT1n4Fxz6t4pZhUic,ipfs://QmXdGDhHaYpAKZP8k9Ba7XWkzPsRBz7FXMM7yWC8zgrWod,ipfs://QmSktdXjLDh4vPC93JKAaWD4z3DLRQ9kUeaXM5VfsgvCCQ,ipfs://Qmdhmcz8DBU7tpyev32743fUW5BWhrN6AGxhZoPkcfwDfT
498,DERRYL VAUGHN | TEZOS PIRATE 498/666,102,51.3079824566,Uncommon Animal,8,Uncommon Beard,Epic Boots,Uncommon Hat,Common Jacket,Rare Pants,Quartermaster,Uncommon Sword,ipfs://QmTt4jWq7S7XmGFikHG43vGcf4eZYThbnQUpj2H3Uwbo6F,ipfs://bafybeieja6rjsw6aaupinieghxmp32gg4ejfjv27l3brx6ja25vnswxeaq,ipfs://QmZFFCmm5NcmnrPwE4ZUPU5SQjCeywKGSwe4sfzue3TQJy,ipfs://QmZUo9YbYm5eJDNetqv9x8Mxh46bC999AaCLvQwdkUto57
437,COLD BUTCHER | TEZOS PIRATE 437/666,103,51.0644834129,Common Animal,8,Uncommon Beard,Rare Boots,Epic Hat,Common Jacket,Common Pants,Quartermaster,Rare Sword,ipfs://QmXB6T9mZRsWuMrFrUm9KhZjCEqW4zxRtwQkxcNqox14un,ipfs://QmS9njzeFmx7nAMwJb3AhK93SeFmSqzt1e17CrjWWniGsu,ipfs://QmYEps2rXQ53snQP8iqymhGmVYM1iRcTooEfpxdfpZFJVm,ipfs://QmNe5LvT3oY3fbFWPHo34LKHniooJJP7zksoWdEAXMMAgy
513,BRAVEHEART THE DRUNK | TEZOS PIRATE 513/666,104,51.0492348015,Common Animal,8,Uncommon Beard,Uncommon Boots,Common Hat,Epic Jacket,Uncommon Pants,Quartermaster,Rare Sword,ipfs://QmW6n84TfEjmBhNW5rwVgRpZNrzEptwTz9PygFdrbDpvvq,ipfs://QmTzQJeHBSsKanSakj1r9FnFWwp8vfhcgyvcbYY88ECeDP,ipfs://QmeMixtgXQF85r1p7ms9BRiUbNgqPCdjSHLqukUTMG7VAx,ipfs://QmZwxAR8cZ4KkjTFFaf7mgEU1Nd5cqwSNbHEsznWpV9WdT
487,GHOST FOY | TEZOS PIRATE 487/666,105,50.9827877601,Uncommon Animal,8,Uncommon Beard,Common Boots,Common Hat,Rare Jacket,Epic Pants,Quartermaster,Uncommon Sword,ipfs://QmdoRjMczqTHVJo37uZwQtJq85KWwU53bdgRrhA5wHfX3t,ipfs://QmXcEAz1rR5HaJe2guX8rPsAJaopDKJonEtQNamd5RX69H,ipfs://Qmcw8rGRHCDum55ST3g9pvtx9bTGnhco8qq3zTpeR8raCV,ipfs://QmSJ2GDVMGoDDNBfX1tJizWrfsVw7NseVrjgC2uCEyPPch
194,ATWORTH KRAKEN | TEZOS PIRATE 194/666,106,50.7712540282,Common Animal,8,Uncommon Beard,Rare Boots,Epic Hat,Common Jacket,Rare Pants,Quartermaster,Uncommon Sword,ipfs://QmPNVvvgw9HwtvPN7pkSbrqQuN4rSQKWeZWf4Y6K6xaT4d,ipfs://QmZkrb8AEMy5uUXGwWHXP2kp2WKFKw1i65ZBAJW9oxDM7i,ipfs://QmR8oDrofRcS3W7aoq5TwZhM4XdeRqmZ9c6AbyX8m82MNr,ipfs://QmPPsX8W8qeaZFRbMiEicoewntnzgXeFd6FbFASeetgHuy
385,COOK EARLE | TEZOS PIRATE 385/666,107,50.7298074224,Uncommon Animal,8,Uncommon Beard,Epic Boots,Rare Hat,Uncommon Jacket,Common Pants,Quartermaster,Common Sword,ipfs://QmPdJRD8jJeJ5VZzb3q9Fh46hpuSdmT1LBSNxFpv2vs19S,ipfs://QmdmBreyo8sDe3SGZahXJy4zgX42CAS2P2QigmuBJJugxx,ipfs://QmZSaBMZHACETwFP8wqG8MLfCueXLwx7kNjgehh7VbhEj4,ipfs://QmbWRnQuFN9JMDTMrU1TKoPZGphBP4Wh7wM9QQ9RZerHrc
42,GARY EMMIT | TEZOS PIRATE 42/666,108,50.6496386654,Rare Animal,8,Uncommon Beard,Common Boots,Uncommon Hat,Epic Jacket,Uncommon Pants,Quartermaster,Common Sword,ipfs://QmNREF8SjXgYd8LEG4pQU7JRQrf6PMbtUjTCRTgZ1DohFS,ipfs://QmZPiumNknFPkBPqhdM7NqQJfvHQxWTS9wVtqCCJ42egF9,ipfs://Qmaq932kNpvp4fz17fdeoo5RnBYHAqyUfpPvPUnZmu8zFY,ipfs://QmTCAZ9Xe5KXrRk8vzavginjW1424YoxXMnUZhsiZNosnR
60,TOOTH KRAKEN | TEZOS PIRATE 60/666,109,50.1416127599,Common Animal,8,Uncommon Beard,Rare Boots,Uncommon Hat,Common Jacket,Epic Pants,Quartermaster,Uncommon Sword,ipfs://Qmch657uX7VmfLWW4RBpBs3r2AMrmC2Mmj1jRotmUDJvrn,ipfs://QmTDqbWTM5bN1z9WXHV2fB8qJxyfHBw7XQBRzJokXEDekx,ipfs://QmfYkVzQCkhEYzWQRyM4y3pqzGVADiahYQ7uRSYbnFkDJj,ipfs://QmZtzGWeUDcUPaY7uG6NzdYWXteDJ9ZNUCk1Fu49Ug1JQu
533,SAM FISKE | TEZOS PIRATE 533/666,110,50.0233989068,Epic Animal,8,Uncommon Beard,Rare Boots,Uncommon Hat,Uncommon Jacket,Common Pants,Quartermaster,Common Sword,ipfs://QmWRTxHjZgHVUyDseqJ5ZtyCBtnFdnevgGhW3q9knYoBe9,ipfs://QmdyhobHRX5q43tF98LsyrhPkA35u59BNUrin24y976eYe,ipfs://QmYSH7LAkkivZ9uWofrLaiJZ1m85BDtJWBoq7usYLkZRnv,ipfs://QmP2DjwT5t7B8u9MC7aWqf8smSaLjon5cTB67ik5rpaMRF
441,STOKLEY HARRINGTON | TEZOS PIRATE 441/666,111,49.9949354338,Uncommon Animal,8,Common Beard,Common Boots,Uncommon Hat,Epic Jacket,Uncommon Pants,Quartermaster,Rare Sword,ipfs://QmXJ3H1QYXzmuTo38Tk9SR8bbEb142GNx4EsYTtdJXUt18,ipfs://QmUzVjrbxZ6tEjGDEmpvAGqqutGpBwH5JnuWmpKNmW5KXq,ipfs://QmevS91Mkvy21Pv65keHQXkU3RsHyFXSMcFW4UdUMUxyYU,ipfs://QmZQgDa5bGDbnoi4xKDfScWXtCBMYuH2aP2mSXeJd1pNtT
162,CLAYBORNE REEVES | TEZOS PIRATE 162/666,112,49.9545857665,Uncommon Animal,8,Rare Beard,Common Boots,Uncommon Hat,Epic Jacket,Common Pants,Quartermaster,Uncommon Sword,ipfs://QmWSsNyis52mz2Knmf51Puq4wM3dGXTP1vZk1Luqy3kE2A,ipfs://Qmbu3CRwAJQM4DtGrmBLBZhRPn7XyFWVDiPffC2tbSwz65,ipfs://QmQoXGAju39YFnW28cToV8MgG1VWP55P1vJU5mdrfHGTX3,ipfs://QmV5MviQWCVJQQa8449SvFF6msFTrpQDtK6PDbsbKwv1uc
66,SHADY LAW | TEZOS PIRATE 66/666,113,49.7996244922,Epic Animal,8,Common Beard,Rare Boots,Uncommon Hat,Uncommon Jacket,Uncommon Pants,Quartermaster,Common Sword,ipfs://QmUszB48UGV8Bfjak8EvjFqFKTSYcp75gJ2ktGZY67C7tn,ipfs://QmRMyXn6Cme7r79dVBYJ6zWgrLvf435rb3Vrw8N8KEB6J1,ipfs://QmPaPfFAVQi4REgK5vZpN6M1MfjA91ecQcFeW3G9ZBF1Bk,ipfs://QmaxNLhnZVyhExhft8SKHPSFe7t8qJ99fm8BK4Ucyi2Bjd
230,MALVO THE RASCAL | TEZOS PIRATE 230/666,114,49.279674613,Uncommon Animal,8,Rare Beard,Common Boots,Uncommon Hat,Epic Jacket,Uncommon Pants,Quartermaster,Common Sword,ipfs://QmWBKSaAuK5SGCgxzEChcfR7T7AX3AVqsYohRvgqRJgDCZ,ipfs://QmYguCbueYXs1Q5LaZNGxTn81rHwJRgeBVMJRe8QCuFkf2,ipfs://QmbXeQbxXXZWQJUk93bvwSk1isuVZx49BGxR9dTrSmXa3E,ipfs://QmeJu8BPJwCEc8CmDDhYX4f5JKeweDbcKM2Tq9uHY9mcvJ
169,STOKLEY SEAFARER | TEZOS PIRATE 169/666,115,48.9680960085,Common Animal,8,Epic Beard,Rare Boots,Common Hat,Common Jacket,Rare Pants,Navigator,Common Sword,ipfs://QmceLT1ZNuSRG23MKv7Pxeivc9vG56cS4NJ5Ncy4LDmckR,ipfs://QmWW7T3N5GjnVn8tCEjkVBUSF8oYG4XMCMxvhSodaxdJbx,ipfs://QmYycBFmLr19baiCR5mS7UZodj7voouhMJVUWK57sgXZ3n,ipfs://QmfB8uyG3RR5nuza6ejvPUztpSVyXatizEg2JPQSuUHgh1
164,BLACK CARLTON | TEZOS PIRATE 164/666,116,48.9253731306,Uncommon Animal,8,Uncommon Beard,Rare Boots,Uncommon Hat,Epic Jacket,Uncommon Pants,Quartermaster,Common Sword,ipfs://QmY4WgvrMErM4FPs2udNi1FmArfwMTAt6atZa8vCoVMZqB,ipfs://QmbYAJUZE7dsxK89TVRzQs4aNy4bCD65De1KLt3E6PvnhG,ipfs://QmUQkkEdWfB8LiLn2H1PDpesGZdrgjeN1TC519DXLmpnGc,ipfs://QmP6TgXHjSZcsgATKHuaX9vn1mEytQCE7HhFmxMvzVobPA
120,SPARROW PENNEY | TEZOS PIRATE 120/666,117,48.7821836209,Rare Animal,8,Epic Beard,Common Boots,Common Hat,Common Jacket,Uncommon Pants,Navigator,Common Sword,ipfs://QmYrc1tHyX8s3bHNr8HX4iBdR5qtHsv2LtxAv98sfHT8d9,ipfs://Qma91pgqQBSj6gJ4XdE7GBLzcw8UtAcBdVsxCyAB3kURqT,ipfs://QmSoGpiCG9RMTziMHi4TJxpZYMvmDX5eVcTz99DssWG6ax,ipfs://QmUddHeJAJP3sJaHFqDWUyHKHUzYFAX8U8c7KwSEmEteM7
436,GEORGE THUNDER | TEZOS PIRATE 436/666,118,48.309735075,Common Animal,8,Common Beard,Uncommon Boots,Uncommon Hat,Common Jacket,Epic Pants,Navigator,Rare Sword,ipfs://Qmcj7TdhPHs22rHJrdAGXWfQNHwcbvh5YHSeM1aeckGUKz,ipfs://QmbFSoKmQETeH1Kzrq9E4DyaKako5M6mXnZpNrbb6DZGdA,ipfs://QmYJFPoqyDYvGaDpUQ3y8hvsRHxPEY1TcBngSjaGSoFZZB,ipfs://QmW9LGphAsnquiXAdYSMSbKADMy7EMu8Wfbdfuo4qUrQwb
480,CRANKY ROGER | TEZOS PIRATE 480/666,119,48.0552830771,Uncommon Animal,8,Common Beard,Uncommon Boots,Common Hat,Common Jacket,Epic Pants,Navigator,Rare Sword,ipfs://QmTVrcRr634RonA42sZL3Gc5MPzS2cp9qsjt4nfdXAoVAo,ipfs://QmXUEVDqpaXRin7k3UcU4pWouNS8vV5kAhFouamHv4cNoJ,ipfs://QmeCuL8Dbvoq9dQbPhWHSYfpS69BZuT3dAbFxFYHBuLzo2,ipfs://QmTJVj3d7WLGwc2dAQCqGdob5AeFJ5kJw7N4k3UdSuH7YR
