ID,Description,Name,Rank,Rarity_Score,Animal,Attributes,Background,Body,Clothes,Expression,Eyewear,Headwear
1770,Animal #5557,making little nervous,130,311.8250027155,Horse,6,Stars,Tattoo,Fonz,Considered,None,Britpop
1420,Animal #5362,the hens held,131,310.9865925669,Horse,6,Wall,Ghost,Dealer,Considered,None,Veronica
1511,Animal #7836,when they were,132,310.3068449473,Horse,6,Flesh,Pink glam,Police,Frustrated,None,Fisherman
995,Animal #995,Mr. Jones was,133,309.4842937504,Pig,6,Purple,Brown,Cobain,Overdosed,None,Astronaut
1146,Animal #5495,a full investigation,134,306.3773900435,Horse,7,Death,Ghost,Teen bling,Cigarette,Glasses,Britpop
1697,Animal #2638,was given out,135,300.3723812628,Horse,6,Money,Ghost,Mcqueen,Beard,None,Gamer
1458,Animal #5685,"Snowball, at the",136,299.2357692428,Horse,7,Sea,Green,Polo ranch,Menace,Cobain,Bowler
1617,Animal #8977,and the principles,137,298.5052754348,Horse,7,Purple,Green,Teen bling,Beard,Sunglasses,Artist
1660,Animal #9909,was its correct,138,296.3414443128,Horse,6,Hell,Robot,Mcqueen,Pondering,None,Beret
1463,Animal #7589,needed re-seeding; but,139,293.5287484375,Horse,6,Graf,Ghost,Polo ranch,Manic,None,Artist
1504,Animal #8347,out of his,140,291.4257161725,Horse,7,Sea,Ghost,Polo ranch,Friendly,Glasses,Fisherman
1710,Animal #3384,grazed at their,141,284.7590818951,Horse,7,Flesh,Orange,Repressed,Kneiving,Sunglasses,Veronica
1056,Animal #7750,a carrot or,142,281.9058038076,Horse,6,Camo,Pink glam,Banker,Menace,None,Artist
1698,Animal #5553,them that he,143,280.9978831325,Horse,5,Wall,Green,Teen bling,Happy,None,None
1375,Animal #9171,They were still,144,280.2019979357,Horse,6,Rave,Brown,Teen bling,Eager,None,Bowler
1243,Animal #4900,grow enthusiastic about,145,280.1825568542,Horse,7,Wall,Grey,Beatnik ranch,Vampire,Glasses,Wayfarer
1664,Animal #7001,straight into the,146,278.5852925801,Horse,7,Wall,Orange,Teen bling,Menace,Glasses,Bowler
1943,Animal #5790,at this moment!,147,277.8635132947,Horse,7,Wall,Grey,Teen bling,Eager,Glasses,Fisherman
1815,Animal #7000,yard and rushed,148,277.2193028814,Horse,6,Hell,Brown,Eddie,Spaced,None,Bowler
254,Animal #254,"waiting attentively, he",149,276.0543179433,Pig,7,Wall,Grey,Banker,Zombie,Glasses,Wayfarer
1023,Animal #1440,"grass, they kicked",150,275.3798754459,Horse,7,Money,Grey,Eddie,Eager,Patch,Bowler
1324,Animal #6960,the timber was,151,274.900191443,Horse,7,Death,Brown glam,Summer,Yelling,Glasses,Elvis
