ID,Name,Rank,Rarity_Score,Attributes,Background,Colour Scheme,Exploded?,Metallic Slice Percentage,Number of Cuts,Slice Angle,Slice Colour Weight,Special
1465,SUMO #1465,2447,38.01140222159186,7,Reaction Diffusion,Green Lantern,Undetonated,25.89%,91,-20°,39.22%,
1074,SUMO #1074,2448,38.01092923584032,7,Black,Iron Fist,Undetonated,42.06%,43,-20°,39.22%,
1960,SUMO #1960,2449,38.0087209026752,7,Black,Brainiac 5,Undetonated,25.89%,91,-20°,39.22%,
674,SUMO #674,2450,37.99916329619529,7,Black,Martian Manhunter,Undetonated,42.06%,91,-80°,47.15%,
2579,SUMO #2579,2451,37.990411283700254,7,Black,Martian Manhunter,Undetonated,75.8%,19,10°,20.68%,
312,SUMO #312,2452,37.987683664811065,7,Black,Martian Manhunter,Undetonated,75.8%,91,90°,39.22%,
1321,SUMO #1321,2453,37.977580833969846,7,Black,Iron Fist,Undetonated,25.89%,43,-20°,39.22%,
2931,SUMO #2931,2454,37.971793146550496,7,Black,Martian Manhunter,Undetonated,84.44%,19,70°,47.67%,
2792,SUMO #2792,2455,37.96566523483345,7,Black,The Thing,Undetonated,84.44%,91,-80°,20.68%,
2360,SUMO #2360,2456,37.94698175197083,7,Reaction Diffusion,Green Lantern,Undetonated,84.44%,91,-20°,20.68%,
1397,SUMO #1397,2457,37.94549219271741,7,Black,Martian Manhunter,Undetonated,42.06%,91,-80°,39.22%,
2165,SUMO #2165,2458,37.93653030606291,7,Black,Martian Manhunter,Undetonated,75.8%,19,70°,39.22%,
1884,SUMO #1884,2459,37.92351766118538,7,Black,The Thing,Undetonated,75.8%,43,10°,20.68%,
1966,SUMO #1966,2460,37.92059781515303,7,Black,Martian Manhunter,Undetonated,75.8%,91,-80°,20.68%,
727,SUMO #727,2461,37.91732691561367,7,Black,Martian Manhunter,Undetonated,84.44%,19,70°,47.15%,
1574,SUMO #1574,2462,37.91214379084693,7,Black,Martian Manhunter,Undetonated,25.89%,91,-80°,39.22%,
1341,SUMO #1341,2463,37.87792797947517,7,Black,The Thing,Undetonated,42.06%,91,90°,47.15%,
566,SUMO #566,2464,37.86365581213579,7,Black,Martian Manhunter,Undetonated,84.44%,19,70°,39.22%,
655,SUMO #655,2465,37.850643167258255,7,Black,The Thing,Undetonated,84.44%,43,10°,20.68%,
2808,SUMO #2808,2466,37.850433293098796,7,Black,The Thing,Undetonated,84.44%,43,70°,47.15%,
847,SUMO #847,2467,37.84789244979336,7,Black,The Thing,Undetonated,25.89%,19,70°,47.67%,
1609,SUMO #1609,2468,37.84457957760469,7,Black,The Thing,Undetonated,25.89%,91,90°,47.15%,
1907,SUMO #1907,2469,37.84098167361738,7,Black,Martian Manhunter,Undetonated,84.44%,91,10°,59.29%,
1148,SUMO #1148,2470,37.826774620727015,7,Black,The Thing,Undetonated,42.06%,19,70°,47.15%,
2107,SUMO #2107,2471,37.81294657582129,7,Black,Iron Fist,Undetonated,42.06%,91,-20°,59.29%,
181,SUMO #181,2472,37.80557574757783,7,Black,Martian Manhunter,Undetonated,75.8%,43,10°,20.68%,
1375,SUMO #1375,2473,37.79712172327173,7,Black,Martian Manhunter,Undetonated,25.89%,43,10°,39.22%,
1154,SUMO #1154,2474,37.79090847412681,7,Black,The Thing,Undetonated,25.89%,91,90°,39.22%,
41,SUMO #41,2475,37.78695761042807,7,Black,Martian Manhunter,Undetonated,84.44%,43,70°,47.67%,
2964,SUMO #2964,2476,37.78110389493396,7,Black,Martian Manhunter,Undetonated,25.89%,91,90°,47.67%,
2876,SUMO #2876,2477,37.77441234303596,7,Reaction Diffusion,Aquaman,Undetonated,75.8%,43,30°,47.15%,
538,SUMO #538,2478,37.773103517249126,7,Black,The Thing,Undetonated,42.06%,19,70°,39.22%,
2924,SUMO #2924,2479,37.76977179355932,7,Reaction Diffusion,Captain America,Undetonated,25.89%,19,30°,20.68%,
1231,SUMO #1231,2480,37.75998606586762,7,Black,Martian Manhunter,Undetonated,42.06%,91,90°,47.15%,
2344,SUMO #2344,2481,37.756004080045656,7,Reaction Diffusion,Aquaman,Undetonated,84.44%,43,30°,47.67%,
2196,SUMO #2196,2482,37.751694769940485,7,Black,Martian Manhunter,Undetonated,75.8%,43,70°,39.22%,
2940,SUMO #2940,2483,37.748209139684754,7,Black,The Thing,Undetonated,75.8%,19,70°,20.68%,
2842,SUMO #2842,2484,37.73975511537866,7,Black,The Thing,Undetonated,25.89%,19,70°,39.22%,
2581,SUMO #2581,2485,37.73848754347662,7,Reaction Diffusion,Green Lantern,Undetonated,42.06%,91,-20°,20.68%,
2907,SUMO #2907,2486,37.73249137949125,7,Black,Martian Manhunter,Undetonated,84.44%,43,70°,47.15%,
2592,SUMO #2592,2487,37.72995053618581,7,Black,Martian Manhunter,Undetonated,25.89%,19,70°,47.67%,
2056,SUMO #2056,2488,37.717080976860245,7,Black,The Thing,Undetonated,25.89%,91,10°,59.29%,
1583,SUMO #1583,2489,37.70883270711947,7,Black,Martian Manhunter,Undetonated,42.06%,19,70°,47.15%,
1115,SUMO #1115,2490,37.70466615585461,7,Black,Iron Fist,Undetonated,42.06%,43,-20°,20.68%,
2872,SUMO #2872,2491,37.702457822689496,7,Black,Brainiac 5,Undetonated,25.89%,91,-20°,20.68%,
2668,SUMO #2668,2492,37.693216677403576,7,Reaction Diffusion,Captain America,Undetonated,25.89%,91,30°,59.29%,
1678,SUMO #1678,2493,37.67725140628734,7,Black,Captain America,Undetonated,75.8%,19,-20°,59.29%,
2906,SUMO #2906,2494,37.67548430524899,7,Black,Martian Manhunter,Undetonated,25.89%,19,70°,47.15%,
221,SUMO #221,2495,37.67533464575763,7,Black,The Thing,Undetonated,84.44%,19,70°,20.68%,
2892,SUMO #2892,2496,37.67165402352901,7,Black,The Thing,Undetonated,75.8%,91,70°,59.29%,
707,SUMO #707,2497,37.671317753984134,7,Black,Iron Fist,Undetonated,25.89%,43,-20°,20.68%,
1403,SUMO #1403,2498,37.663056913670935,7,Black,The Thing,Undetonated,25.89%,43,70°,47.67%,
102,SUMO #102,2499,37.65516160364158,7,Black,Martian Manhunter,Undetonated,42.06%,19,70°,39.22%,
2324,SUMO #2324,2500,37.6392291127317,7,Black,Martian Manhunter,Undetonated,42.06%,91,-80°,20.68%,
1368,SUMO #1368,2501,37.63026722607721,7,Black,Martian Manhunter,Undetonated,75.8%,19,70°,20.68%,
186,SUMO #186,2502,37.624208073259176,7,Reaction Diffusion,Aquaman,Undetonated,42.06%,19,30°,39.22%,
1822,SUMO #1822,2503,37.621813201771104,7,Black,Martian Manhunter,Undetonated,25.89%,19,70°,39.22%,
698,SUMO #698,2504,37.61828465930737,7,Reaction Diffusion,Captain America,Undetonated,42.06%,43,30°,20.68%,
1912,SUMO #1912,2505,37.60880055689357,7,Black,The Thing,Undetonated,25.89%,43,10°,20.68%,
1593,SUMO #1593,2506,37.60859068273411,7,Black,The Thing,Undetonated,25.89%,43,70°,47.15%,
1136,SUMO #1136,2507,37.60698584354477,7,Black,Iron Fist,Undetonated,75.8%,91,-20°,47.67%,
2962,SUMO #2962,2508,37.60588071086122,7,Black,Martian Manhunter,Undetonated,25.89%,91,-80°,20.68%,
2988,SUMO #2988,2509,37.60437691236021,7,Black,Captain America,Undetonated,84.44%,19,-20°,59.29%,
2007,SUMO #2007,2510,37.55739273215008,7,Black,Martian Manhunter,Undetonated,84.44%,19,70°,20.68%,
662,SUMO #662,2511,37.55491957925623,7,Black,The Thing,Undetonated,25.89%,43,70°,39.22%,
946,SUMO #946,2512,37.55371210992146,7,Black,Martian Manhunter,Undetonated,75.8%,91,70°,59.29%,
2156,SUMO #2156,2513,37.55251961260795,7,Black,Iron Fist,Undetonated,75.8%,91,-20°,47.15%,
1796,SUMO #1796,2514,37.54511500006338,7,Black,Martian Manhunter,Undetonated,25.89%,43,70°,47.67%,
1349,SUMO #1349,2515,37.5444686464542,7,Black,The Thing,Undetonated,75.8%,91,10°,47.67%,
128,SUMO #128,2516,37.524207045156494,7,Black,Martian Manhunter,Undetonated,42.06%,43,10°,20.68%,
127,SUMO #127,2517,37.52060434699753,7,Reaction Diffusion,Captain America,Undetonated,75.8%,91,30°,47.67%,
2373,SUMO #2373,2518,37.518949174416676,7,Reaction Diffusion,Green Lantern,Undetonated,84.44%,19,30°,59.29%,
2846,SUMO #2846,2519,37.49884850913006,7,Black,Iron Fist,Undetonated,75.8%,91,-20°,39.22%,
2142,SUMO #2142,2520,37.49304364061463,7,Reaction Diffusion,Aquaman,Undetonated,42.06%,43,30°,47.15%,
2555,SUMO #2555,2521,37.490648769126565,7,Black,Martian Manhunter,Undetonated,25.89%,43,70°,47.15%,
1491,SUMO #1491,2522,37.4904991096352,7,Black,The Thing,Undetonated,84.44%,43,70°,20.68%,
1898,SUMO #1898,2523,37.49000241551738,7,Black,The Thing,Undetonated,75.8%,91,10°,47.15%,
143,SUMO #143,2524,37.4846453941411,7,Black,The Thing,Undetonated,25.89%,91,90°,20.68%,
2313,SUMO #2313,2525,37.47964511868082,7,Black,Iron Fist,Undetonated,84.44%,91,-20°,47.15%,
430,SUMO #430,2526,37.45969523874415,7,Reaction Diffusion,Aquaman,Undetonated,25.89%,43,30°,47.15%,
1382,SUMO #1382,2527,37.44988408561193,7,Reaction Diffusion,Aquaman,Undetonated,84.44%,91,30°,59.29%,
1638,SUMO #1638,2528,37.433492035392945,7,Black,The Thing,Undetonated,25.89%,19,70°,20.68%,
1064,SUMO #1064,2529,37.41186783540491,7,Reaction Diffusion,The Thing,Undetonated,84.44%,19,-20°,59.29%,
1213,SUMO #1213,2530,37.39028532110767,7,Black,The Thing,Undetonated,42.06%,91,70°,59.29%,
73,SUMO #73,2531,37.37255719602766,7,Black,Martian Manhunter,Undetonated,84.44%,43,70°,20.68%,
1649,SUMO #1649,2532,37.37206050190983,7,Black,Martian Manhunter,Undetonated,75.8%,91,10°,47.15%,
785,SUMO #785,2533,37.36670348053355,7,Black,Martian Manhunter,Undetonated,25.89%,91,90°,20.68%,
2760,SUMO #2760,2534,37.36345681811237,7,Black,The Thing,Undetonated,84.44%,91,10°,39.22%,
2486,SUMO #2486,2535,37.36253430199553,7,Black,Captain America,Undetonated,25.89%,19,-20°,59.29%,
1810,SUMO #1810,2536,37.3395925186557,7,Reaction Diffusion,Captain America,Undetonated,84.44%,91,30°,39.22%,
2605,SUMO #2605,2537,37.33411363829424,7,Reaction Diffusion,Green Lantern,Undetonated,84.44%,43,30°,59.29%,
392,SUMO #392,2538,37.31838939843195,7,Black,Martian Manhunter,Undetonated,75.8%,91,10°,39.22%,
1278,SUMO #1278,2539,37.3155501217854,7,Black,Martian Manhunter,Undetonated,25.89%,19,70°,20.68%,
1927,SUMO #1927,2540,37.29392592179737,7,Reaction Diffusion,Martian Manhunter,Undetonated,84.44%,19,-20°,59.29%,
2532,SUMO #2532,2541,37.28459659140299,7,Reaction Diffusion,Aquaman,Undetonated,25.89%,19,30°,20.68%,
991,SUMO #991,2542,37.27234340750013,7,Black,Martian Manhunter,Undetonated,42.06%,91,70°,59.29%,
259,SUMO #259,2543,37.27115091018662,7,Black,Iron Fist,Undetonated,42.06%,91,-20°,47.15%,
2136,SUMO #2136,2544,37.26309994403287,7,Black,The Thing,Undetonated,42.06%,91,10°,47.67%,
1311,SUMO #1311,2545,37.245514904504816,7,Black,Martian Manhunter,Undetonated,84.44%,91,10°,39.22%,
1055,SUMO #1055,2546,37.2392356445762,7,Reaction Diffusion,Captain America,Undetonated,42.06%,91,30°,47.67%,
2893,SUMO #2893,2547,37.238995005629654,7,Black,Martian Manhunter,Undetonated,25.89%,91,70°,59.29%,
686,SUMO #686,2548,37.23780250831614,7,Black,Iron Fist,Undetonated,25.89%,91,-20°,47.15%,
375,SUMO #375,2549,37.227032299282484,7,Reaction Diffusion,The Thing,Undetonated,84.44%,43,-20°,59.29%,
1704,SUMO #1704,2550,37.21747980670873,7,Black,Iron Fist,Undetonated,42.06%,91,-20°,39.22%,
2073,SUMO #2073,2551,37.19258542914436,7,Black,Iron Fist,Undetonated,75.8%,91,-20°,20.68%,
2683,SUMO #2683,2552,37.18432458883115,7,Black,The Thing,Undetonated,75.8%,91,70°,47.67%,
2803,SUMO #2803,2553,37.14515803042532,7,Black,Martian Manhunter,Undetonated,42.06%,91,10°,47.67%,
82,SUMO #82,2554,37.13545574065266,7,Black,Captain America,Undetonated,75.8%,19,-20°,47.15%,
2130,SUMO #2130,2555,37.133109457151036,7,Reaction Diffusion,Aquaman,Undetonated,42.06%,43,30°,20.68%,
1229,SUMO #1229,2556,37.13109831016149,7,Reaction Diffusion,Captain America,Undetonated,42.06%,91,30°,39.22%,
139,SUMO #139,2557,37.13071458566297,7,Black,Martian Manhunter,Undetonated,25.89%,43,70°,20.68%,
2969,SUMO #2969,2558,37.13006823205379,7,Black,The Thing,Undetonated,75.8%,91,10°,20.68%,
1946,SUMO #1946,2559,37.12985835789433,7,Black,The Thing,Undetonated,75.8%,91,70°,47.15%,
1651,SUMO #1651,2560,37.12161420774768,7,Black,The Thing,Undetonated,25.89%,91,10°,39.22%,
106,SUMO #106,2561,37.11971093521723,7,Black,Iron Fist,Undetonated,84.44%,91,-20°,20.68%,
