ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Body Material,Energy,Flyer,Head,Left Arm,Right Arm
685,Unibot #685,347,74.4393717509686,8,Athens,Armor 01,Gold,Solar,No,Googles,A010,A010
94,Unibot #94,348,74.43823017150012,8,Yucatan,Synthetic Heart,Silver,Hydraulic,No,Googles,A009,A009
564,Unibot #564,349,74.4213087467493,8,Edo,Armor 01,Silver,Wind,No,Chappie,A005,A005
582,Unibot #582,350,74.40130320131522,8,Sahara,Armor 04,Silver,Geothermal,No,Fish Tank,A002,A002
699,Unibot #699,351,74.39476469553895,8,Miami,Candy Machine,Silver,Hydraulic,No,Queen Bee,A009,A009
192,Unibot #192,352,74.38208254267326,8,Athens,Armor 02,Gold,Solar,No,IG-11,A010,A010
389,Unibot #389,353,74.36362744612613,8,New York City,Armor 02,Gold,Solar,No,IG-11,A006,A006
556,Unibot #556,354,74.35438632100028,8,Athens,Armor 01,Silver,Geothermal,No,Drone,A002,A002
781,Unibot #781,355,74.35389804574707,8,Florence,Armor 01,Gold,Hydraulic,No,Brain Capsule,A008,A008
601,Unibot #601,356,74.33477309888116,8,Carthage,Suit,Silver,Wind,No,Fish Tank,A008,A008
261,Unibot #261,357,74.320908480572,8,Yucatan,Drying machine,Silver,Geothermal,No,Helmet,A002,A002
402,Unibot #402,358,74.29327510259176,8,New Mexico,Synthetic Heart,Gold,Solar,No,Googles,A006,A006
923,Unibot #923,359,74.26018092292827,8,Buenos Aires,Armor 02,Silver,Geothermal,No,Drone,A006,A006
326,Unibot #326,360,74.23922096604069,8,Miami,Armor 04,Silver,Biodiesel,No,Fancy Chappie,A007,A007
477,Unibot #477,361,74.21339068570511,8,Paris,Candy Machine,Silver,Solar,No,Broken Screen,A001,A001
17,Unibot #17,362,74.15171982792529,8,Florence,Armor 01,Gold,Hydraulic,No,Brain Capsule,A002,A002
160,Unibot #160,363,74.14531300920208,8,Paris,Satellite,Silver,Biodiesel,No,Googles,A001,A001
714,Unibot #714,364,74.14260290876652,8,Carthage,Armor 01,Silver,Biodiesel,No,Chappie,A010,A010
786,Unibot #786,365,74.12527680428951,8,Babylon,Car Jack,Silver,Wind,No,Helmet,A009,A009
814,Unibot #814,366,74.11527949690885,8,Edo,Satellite,Silver,Solar,No,Open Helmet,A009,A009
567,Unibot #567,367,74.10329481038389,8,Athens,Car Jack,Silver,Hydraulic,No,Rocket,A004,A004
687,Unibot #687,368,74.09285662000421,8,Granada,Satellite,Silver,Biodiesel,No,Fancy Chappie,A008,A008
130,Unibot #130,369,74.08117997765105,8,Carthage,Armor 01,Silver,Biodiesel,No,IG-11,A001,A001
242,Unibot #242,370,74.07984225020837,8,Yucatan,Armor 02,Silver,Solar,No,Queen Bee,A004,A004
683,Unibot #683,371,74.06145300676543,8,Athens,Satellite,Silver,Geothermal,No,Open Helmet,A010,A010
774,Unibot #774,372,74.0408246907711,8,Hong Kong,Satellite,Gold,Hydraulic,No,Jaw,A004,A004
802,Unibot #802,373,74.02962589827236,8,Miami,Suit,Silver,Biodiesel,No,IG-11,A009,A009
47,Unibot #47,374,74.01996463119228,8,Buenos Aires,Suit,Silver,Solar,No,Jaw,A002,A002
273,Unibot #273,375,74.00244425432984,8,New York City,Armor 02,Gold,Solar,No,Brain Capsule,A004,A004
888,Unibot #888,375,74.00244425432984,8,New York City,Armor 02,Gold,Solar,No,Brain Capsule,A004,A004
765,Unibot #765,377,73.98570422998557,8,Delphi,Mustang Engine,Silver,Wind,No,Bee,A002,A002
227,Unibot #227,378,73.97398977805577,8,Caracas,Candy Machine,Silver,Geothermal,No,IG-11,A001,A001
1006,Unibot #1006,379,73.96336749666852,8,Athens,Mustang Engine,Silver,Geothermal,No,Screen,A006,A006
594,Unibot #594,380,73.95471135678221,8,Sahara,Car Jack,Silver,Biodiesel,No,Screen,A006,A006
707,Unibot #707,381,73.93076426727654,8,New York City,Candy Machine,Silver,Geothermal,No,Fancy Chappie,A002,A002
162,Unibot #162,382,73.92751249044956,8,Granada,Satellite,Silver,Solar,No,Fancy Chappie,A009,A009
525,Unibot #525,383,73.92291597697405,8,New Mexico,Car Jack,Silver,Geothermal,No,Helmet,A007,A007
819,Unibot #819,384,73.91097081706685,8,Hong Kong,Car Jack,Silver,Geothermal,No,Bee,A009,A009
783,Unibot #783,385,73.90865138550122,8,Sahara,Candy Machine,Silver,Biodiesel,No,Googles,A007,A007
570,Unibot #570,386,73.89985624349767,8,Florence,Car Jack,Silver,Hydraulic,No,Lighbulb,A007,A007
636,Unibot #636,387,73.89622539968313,8,Miami,Armor 04,Gold,Hydraulic,No,IG-11,A010,A010
769,Unibot #769,388,73.8929061868784,8,Yucatan,Synthetic Heart,Silver,Solar,No,Bee,A002,A002
74,Unibot #74,389,73.89170305303868,8,Babylon,Suit,Silver,Geothermal,No,Brain Capsule,A009,A009
88,Unibot #88,390,73.85082868889108,8,New Mexico,Candy Machine,Silver,Hydraulic,No,Open Helmet,A006,A006
523,Unibot #523,391,73.83022677759637,8,Caracas,Drying machine,Silver,Wind,No,Rocket,A009,A009
98,Unibot #98,392,73.82144946785304,8,Florence,Drying machine,Silver,Solar,No,Fancy Chappie,A007,A007
443,Unibot #443,393,73.81412302041916,8,Babylon,Drying machine,Silver,Wind,No,Electric Rocket,A010,A010
686,Unibot #686,394,73.79064516013004,8,Granada,Armor 02,Silver,Biodiesel,No,Googles,A001,A001
290,Unibot #290,395,73.78597819995188,8,Caracas,Armor 04,Silver,Wind,No,Electric Rocket,A001,A001
83,Unibot #83,396,73.78145404647704,8,New Mexico,Synthetic Heart,Silver,Solar,No,Fancy Chappie,A009,A009
951,Unibot #951,397,73.7606902927264,8,Babylon,Car Jack,Silver,Geothermal,No,Bee,A004,A004
662,Unibot #662,398,73.7259521112576,8,Babylon,Satellite,Silver,Wind,No,Queen Bee,A006,A006
725,Unibot #725,399,73.724031889193,8,New York City,Synthetic Heart,Silver,Geothermal,No,Fish Tank,A004,A004
909,Unibot #909,400,73.7119746072801,8,Florence,Car Jack,Silver,Geothermal,No,IG-11,A007,A007
6,Unibot #6,401,73.70334662139643,8,Sahara,Drying machine,Silver,Geothermal,No,Bee,A002,A002
265,Unibot #265,402,73.68483262516241,8,Miami,Armor 02,Gold,Hydraulic,No,Jaw,A008,A008
1002,Unibot #1002,402,73.68483262516241,8,Miami,Armor 02,Gold,Hydraulic,No,Jaw,A008,A008
885,Unibot #885,404,73.65520804532947,8,Yucatan,Candy Machine,Silver,Hydraulic,No,Brain Capsule,A002,A002
