ID,Name,Rank,Rarity_Score,Attributes,BG Overlay 1,BG Overlay 2,Background,Ears,Extras,Eyes,Hat,Head,Head Detail,Mouth,Nose,Title
596,Inkspunk #596,596,237.77844019845026,12,New Day,Icing,Newsprint 04,Ear 2,Happiness,Death,Straw Spikes,Blue,White Outline,Snarl,Needle,Logo 5
576,Inkspunk #576,597,237.73707555988483,12,New Day,Frozen,Newsprint 13,Ear 4,Sleeping,Alert,Onelove,Rage,Cyber Skull,Hungry,Broken,Logo 1
91,Inkspunk #91,598,237.67084797044416,12,Tsunami,Too Hot,Newsprint 01,Ear 6,Wake Up,Incensed,Hooded,Markt,Fuchsia Ghost,Fear,Needle,Logo 1
80,Inkspunk #80,599,237.65921568422718,12,Splattered,Bubblegum,Newsprint 03,Ear 7,Freedom,Graphic,Night Queen,Washed,Cheeks,Shout,Papermache,Logo 7
645,Inkspunk #645,600,237.6500842107516,12,Power Struggle,Sriracha,Newsprint 04,Ear 8,Bullet,Alert,Tattooed,Blue,Fuchsia Bleed,Sick,Faded,Logo 3
624,Inkspunk #624,601,237.6394431502043,12,Power Struggle,Icing,Newsprint 09,Ear 2,Happiness,Furious,Touque,Markt,White Spray,Growl,Needle,Logo 1
946,Inkspunk #946,602,237.5143011422843,12,Tsunami,Frozen,Newsprint 08,Ear 7,Lies,Blue,Red Hat,Headlines,White Outline,Anguish,Bloody,Logo 1
333,Inkspunk #333,603,237.47440638869995,12,Coagulated,Gummi,Newsprint 04,Ear 7,Pharoah,Graffiti,Rambo,Skull,Evil,Boney,Crooked,Logo 1
98,Inkspunk #98,604,237.40581207971667,12,Hades,Candy Floss,Newsprint 04,Ear 2,Crowned,Ready,Paper King,Rheinische,Ultra Violence,Snarl,Faded,Logo 8
300,Inkspunk #300,605,237.3066987234066,12,Scratches,Icing,Newsprint 13,Ear 4,Sleeping,Suspicious,Puck Head,Blue,Dusk,Renaissance,Bloody,Logo 6
466,Inkspunk #466,606,237.23835772232223,12,Power Struggle,Spearmint,Newsprint 12,Ear 5,Lies,Sad,Storm,Splattered,Evil,Anguish,Blue,Logo 3
877,Inkspunk #877,607,237.2225244704405,12,Dawn,Sriracha,Newsprint 05,Ear 8,Right Click,Demon,Basqunks,Washed,Ultra Violence,Sick,Long,Logo 7
453,Inkspunk #453,608,237.13870218349348,12,Hades,Candy Floss,Newsprint 06,Ear 6,Animals,Ready,Storm,Blue,Dusk,Bearded,Cold,Logo 7
39,Inkspunk #39,609,237.0749613914434,12,Coagulated,Candy Floss,Newsprint 03,Ear 7,Anarchy,Fuchsia,Hooded,Skull,Dark Lord,Grillz,Surly,Logo 8
879,Inkspunk #879,610,237.06130361280245,12,Blood Wash,Candy Floss,Newsprint 01,Ear 2,Life,Relaxed,Red Hat,Skull,Dark Lord,Snarl,Wide,Logo 6
993,Inkspunk #993,611,237.0377643267286,12,Scratches,Pepper,Newsprint 10,Ear 8,Death,Incensed,Dark Wave,Liberty,Scowl,Saw Tooth,Bulbous,Logo 3
275,Inkspunk #275,612,237.02042449743658,12,Hades,Bubblegum,Newsprint 10,Ear 6,Right Click,Twenty,Magician,Indigo,Splats,Vampire,Needle,Logo 7
876,Inkspunk #876,613,236.99646870895938,12,Scratches,Candy,Newsprint 06,Ear 6,Rise Up,Hexed,Red Hat,Washed,Black And White,Growl,Skull,Logo 6
758,Inkspunk #758,614,236.9933523847686,12,Sunset,Tundra,Newsprint 05,Ear 7,Death,Blue,Docks,Bleached,Fuchsia Skull,Silent,Long,Logo 6
750,Inkspunk #750,615,236.98602487039008,12,Splattered,Bubblegum,Newsprint 01,Ear 5,Right Click,Alert,Docks,Washed,Head Hole,Silent,Bulbous,Logo 1
25,Inkspunk #25,616,236.95813956704717,12,Dawn,Pepper,Newsprint 13,Ear 7,Frazzled,Alert,Rambo,Rage,Dark Lord,Vampire,Long,Logo 5
238,Inkspunk #238,617,236.88351877205244,12,New Day,Frosty,Newsprint 12,Ear 6,Crowned,Smoke,Anarchy,Headlines,Dark Lord,Hungry,Crypt,Logo 3
610,Inkspunk #610,618,236.88291435318317,12,Bright Spot,Spearmint,Newsprint 06,Ear 1,Stand,Demon,Dark Wave,Red,Fuchsia Skull,Silent,Surly,Logo 3
976,Inkspunk #976,619,236.87581916902474,12,Coagulated,Candy Floss,Newsprint 03,Ear 11,Pawn,Graphic,Tattooed,Rage,Hollow,Snarl,Lodovico,Logo 4
160,Inkspunk #160,620,236.75213189675335,12,Scratches,Hot Sauce,Newsprint 03,Ear 2,Wagmi,Demon,Thorns,Washed,White Spray,Silent,Tipsy,Logo 8
174,Inkspunk #174,621,236.7382438905431,12,Splattered,Candy,Newsprint 08,Ear 11,Right Click,Yellow,Storm,Red,Cheeks,Confused,Crooked,Logo 2
611,Inkspunk #611,622,236.71516650276152,12,Hades,Too Hot,Newsprint 08,Ear 9,Rise Up,Fuchsia,Dominator,Headlines,Shadow,Boney,Bandaged,Logo 7
886,Inkspunk #886,623,236.67738542092084,12,Scratches,Spearmint,Newsprint 01,Ear 6,Wake Up,Alert,Flame Spikes,Markt,Cyber Skull,Shout,Faded,Logo 3
677,Inkspunk #677,624,236.58265192511746,12,Tsunami,Spearmint,Newsprint 01,Ear 8,Data,Old Timer,Frost Spikes,Washed,White Spray,Renaissance,Needle,Logo 8
980,Inkspunk #980,625,236.40380051713487,12,Coagulated,Too Hot,Newsprint 03,Ear 9,Manic,Twenty,Coolio,Rage,Frigid,Grillz,Bandaged,Logo 2
547,Inkspunk #547,626,236.39478274250735,12,Hades,Frosty,Newsprint 01,Ear 4,Crowned,Yellow,Flame Spikes,Liberty,Dusk,Silent,Surly,Logo 5
264,Inkspunk #264,627,236.3775340867542,12,Splattered,Tundra,Newsprint 07,Ear 4,Wagmi,Hexed,Night Queen,Red,Evil,Hungry,Bleached,Logo 5
959,Inkspunk #959,628,236.34167204157188,12,Blood Wash,Candy,Newsprint 10,Ear 11,Lies,Confused,Docks,Liberty,White Outline,Saw Tooth,Pinched,Logo 1
800,Inkspunk #800,629,236.22737347596149,12,New Day,Candy Floss,Newsprint 05,Ear 4,Watching,Relaxed,Autumn,Blue,Arctic,Confused,Tipsy,Logo 4
922,Inkspunk #922,630,236.2267478003322,12,Tsunami,Candy,Newsprint 06,Ear 4,Death,Incensed,Tattooed,Washed,Arctic,Confused,Papermache,Logo 4
467,Inkspunk #467,631,236.16129129956207,12,Sunset,Candy,Newsprint 07,Ear 2,Data,Furious,Tilley,Washed,Head Hole,Anguish,Crypt,Logo 4
384,Inkspunk #384,632,236.10228930928793,12,Dawn,Candy Floss,Newsprint 03,Ear 3,Wagmi,Ready,Rambo,Blue,Splats,Boney,Blue,Logo 4
204,Inkspunk #204,633,236.0816461616426,12,Coagulated,Candy,Newsprint 10,Ear 6,Life,Alert,Tidy Dreads,Blue,Cold,Anguish,Broken,Logo 7
556,Inkspunk #556,634,235.90669016535924,12,Coagulated,Bubblegum,Newsprint 11,Ear 9,Stand,Incensed,Traveller,Washed,Arctic,Saw Tooth,Pinched,Logo 1
370,Inkspunk #370,635,235.89778740735366,12,Power Struggle,Hot Sauce,Newsprint 03,Ear 8,Life,Suspicious,Sabrina,Blue,Spawn,Renaissance,Bleached,Logo 3
124,Inkspunk #124,636,235.66567449882197,12,Scratches,Tundra,Newsprint 01,Ear 5,Wake Up,Demon,Magician,Liberty,Splats,Fear,Bleached,Logo 6
30,Inkspunk #30,637,235.63624552737568,12,Splattered,Candy,Newsprint 11,Ear 8,Power,Smoke,Storm,Red,Old Time,Anguish,Surly,Logo 1
215,Inkspunk #215,638,235.5778715593486,12,Bright Spot,Candy,Newsprint 04,Ear 7,Rise Up,Old Timer,Anarchy,Skull,Evil,Censored,Faded,Logo 6
