ID,Name,Rank,Rarity_Score,Attributes,Background,Body,Clothes,Eyes,Hat,Legendary,Mouths
1607,BatBits #1607,116,146.75933593275371,6,Toxic,Pink,Orange Hoodie,Dollar Lashes,Tophat,,Disappointed Lip
1808,BatBits #1808,117,146.65107420361457,6,Sky,Pink,Lazy,Dollar,Viking,,Wide Sad
2908,BatBits #2908,118,146.64169382000068,6,Rainbow,Black,Gladiator,Smiley Lashes,Arrow,,Sad
424,BatBits #424,119,146.0704660106823,6,Sky,Purple,Lazy,Smiley Lashes,Tophat,,Disappointed Lip
442,BatBits #442,120,145.9924091963482,6,Purple,Black,Pink Skirt,Smiley,Short Black,,Hmm
337,BatBits #337,121,144.65313907674354,6,Orange,Purple,Polo Orange,Smiley Lashes,Earing Bar,,Hmm
1365,BatBits #1365,122,144.62588928019161,6,Love,Green,Crewneck,Msr,Tophat,,Straight Lip
2853,BatBits #2853,123,144.48451263948527,6,Orange,Blue,Loco,Msr,Bandana Black,,Straight Lip
2208,BatBits #2208,124,144.08817883754665,6,Sunrise,Green,Loco,Single,Buckethat,,Derp
2561,BatBits #2561,125,143.72617421080304,6,Love,Yellow,Mime,Glasses,2Pac,,Smile
1698,BatBits #1698,126,143.69729913671705,6,Purple,Blue,Yellow Hoodie,Triple Lashes,Short Black,,Hmm
1526,BatBits #1526,127,143.66791928103592,6,Love,Blue,Bluestar,Smiley Lashes,Tophat,,Straight
2567,BatBits #2567,128,143.39394446120363,6,Yellow,Red,Lazy,Pirate Lashes,Long Blonde,,Wide Smile Lip
1715,BatBits #1715,129,143.3233016390031,6,Yellow,White,Loco,Rip,Taxi,,Straight Lip
138,BatBits #138,130,143.10652902859175,6,Sunrise,Red,Tie,Glasses,Batbit Hat,,Sad
2895,BatBits #2895,131,143.00388660567205,6,Toxic,Green,Loco,Smiley,Boat,,Chob
2038,BatBits #2038,132,142.88805866360295,6,Purple,Green,Lazy,Glasses,2Pac Yellow,,Hmm
2112,BatBits #2112,133,142.8235779234097,6,Yellow,Green,Hipster,Pirate,Party,,Wide Smile
2347,BatBits #2347,134,142.72714616239205,6,Blue,White,Ninja,Rip,More Weird,,Smile
2797,BatBits #2797,135,142.69501743657167,6,Purple,Blue,Pink Skirt,Msr,Flower,,Chob
1178,BatBits #1178,136,142.5883032151229,6,Sorry,Black,Yellow Hoodie,Simple Lashes,Bandana Black,,Hmm
654,BatBits #654,137,141.382954130067,6,Sorry,Black,Crewneck,Pirate,Traditional,,Wide Sad
2213,BatBits #2213,138,141.3578329234683,6,Rainbow,Pink,Polo Orange,Bored Lashes,Long Black,,Hmm
2313,BatBits #2313,139,141.22650416343305,6,Purple,Pink,Gladiator,Triple,2Pac Yellow,,Tongue
357,BatBits #357,140,141.1807512435435,6,Sunrise,White,Bluestar,Glasses,Bandana Black,,Straight Lip
427,BatBits #427,141,140.5463891221857,6,Sunrise,White,White Hoodie,Rip,More Weird,,Wide Smile Lip
2706,BatBits #2706,142,140.21292976938327,6,Sorry,Orange,Mime,Bored Lashes,2Pac Yellow,,Smile
1053,BatBits #1053,143,140.1496147683152,6,Blue,Red,Ninja,Hearts Lashes,Short Blonde,,Scar
537,BatBits #537,144,140.07480390478682,6,Sorry,Orange,Ninja,Bored,Sailor,,Derp
748,BatBits #748,145,139.87754808156893,6,Orange,Pink,Mime,Rip,Sailor,,Chob Lip
1486,BatBits #1486,146,139.8533190287322,6,Sorry,Red,Gladiator,Triple Lashes,Long Black,,Tongue
1287,BatBits #1287,147,139.6760087322769,6,Sky,White,Yellow Skirt,Single Lashes,Tophat,,Derp
95,BatBits #95,148,139.65143691774318,6,Sky,Green,Gladiator,Triple Lashes,Long Black,,Straight Lip
2655,BatBits #2655,149,139.52720497718775,6,Sorry,Pink,Jacket,Rip Lashes,Viking,,Tongue
2541,BatBits #2541,150,139.50922729642613,6,Sky,Green,Bluestar,Msr,2Pac,,Sad
1820,BatBits #1820,151,139.40280852726585,6,Orange,Green,Wired,Bored,Flower,,Smile
2337,BatBits #2337,152,139.21458138211892,6,Rainbow,Pink,Patch,Msr,Short Black,,Disappointed
598,BatBits #598,153,138.99114852851744,6,Blue,Yellow,Ladybug,Bored Lashes,Earing Bar,,Scar
2041,BatBits #2041,154,138.81904508355868,6,Sorry,Sky,Orange Hoodie,Dollar,Flower,,Wide Smile Lip
274,BatBits #274,155,138.67484080729048,6,Purple,Green,Pink Skirt,Dollar,Viking,,Smile
2708,BatBits #2708,156,138.59987858323112,6,Blue,Purple,White Hoodie,Pirate,Party,,Straight Lip
532,BatBits #532,157,138.41013917068582,6,Sorry,Red,Wired,Hearts,Earing Bar,,Wide Sad
1734,BatBits #1734,158,138.0926600696168,6,Orange,Yellow,Lazy,Dollar Lashes,Tophat,,Sad
2533,BatBits #2533,159,137.65673106299067,6,Yellow,White,Tie,Dollar,Weird,,Chob
2194,BatBits #2194,160,137.55342497370546,6,Sunrise,Pink,White Hoodie,Triple,Earing Bar,,Sad Lip
2025,BatBits #2025,161,137.41198035390926,6,Purple,Pink,Hipster,Simple Lashes,Viking,,Tongue
2749,BatBits #2749,162,137.27972149682887,6,Love,Blue,Hipster,Hearts Lashes,More Weird,,Scar
1700,BatBits #1700,163,137.02040026296436,6,Purple,Purple,Mime,Rip Lashes,Traditional,,Tongue
88,BatBits #88,164,136.9901729288554,6,Sorry,Black,Loco,Smiley Lashes,Bandana,,Wide Sad Lip
224,BatBits #224,165,136.88603908472552,6,Sky,Purple,Polo Orange,Single,Bandana,,Hmm
2741,BatBits #2741,166,136.88279230484918,6,Love,Red,Mime,Smiley Lashes,Boat,,Wide Smile
561,BatBits #561,167,136.53363096851496,6,Sunrise,Blue,Yellow Skirt,Single Lashes,More Weird,,Sad
1703,BatBits #1703,168,136.50975294463439,6,Yellow,Orange,Ladybug,Triple,Flower,,Wide Sad Lip
1179,BatBits #1179,169,136.4672658613069,6,Love,Purple,Gladiator,Glasses,Boat,,Straight
1481,BatBits #1481,170,136.4393034800121,6,Love,Orange,Pink Skirt,Triple,Tophat,,Wide Smile Lip
367,BatBits #367,171,136.40724951730286,6,Blue,Orange,Lazy,Single Lashes,Viking,,Disappointed Lip
2956,BatBits #2956,172,136.1828496621548,6,Sky,Blue,Wired,Smiley Lashes,Batbit Hat,,Straight Lip
342,BatBits #342,173,136.15524879033686,6,Sorry,Purple,Jacket,Dollar Lashes,Tophat,,Wide Sad
2044,BatBits #2044,174,136.0171541518951,6,Blue,Pink,Loco,Single Lashes,Earing Bar,,Wide Sad Lip
847,BatBits #847,175,135.92004518354943,6,Purple,Red,Ninja,Single Lashes,Boat,,Wide Sad
2276,BatBits #2276,176,135.90514786026662,6,Toxic,Yellow,Hipster,Rip,Weird,,Wide Sad Lip
16,BatBits #16,177,135.62388348647224,6,Orange,Blue,Tie,Triple Lashes,Flower,,Derp
493,BatBits #493,178,135.60446846863772,6,Rainbow,Pink,Loco,Triple Lashes,Traditional,,Chob Lip
2647,BatBits #2647,179,135.47102682126328,6,Yellow,Red,Ninja,Rip Lashes,Bandana Black,,Sad Lip
2195,BatBits #2195,180,135.088404118719,6,Toxic,Red,Loco,Simple,Batbit Hat,,Sad
562,BatBits #562,181,134.71503621470993,6,Blue,Sky,Ninja,Bored Lashes,Short Blonde,,Derp
1618,BatBits #1618,182,134.57685351311585,6,Sunrise,Blue,Orange Hoodie,Dollar Lashes,Caphead,,Wide Smile Lip
172,BatBits #172,183,134.53145439927246,6,Rainbow,White,Ninja,Hearts Lashes,Party,,Wide Smile
66,BatBits #66,184,134.13092414618194,6,Sorry,Pink,Ninja,Smiley Lashes,2Pac Yellow,,Smile
2164,BatBits #2164,185,133.82049617128538,6,Blue,Purple,Mime,Triple,Bandana,,Wide Smile Lip
1394,BatBits #1394,186,133.782455548661,6,Purple,Green,Crewneck,Pirate,Bandana Yellow,,Wide Sad
2007,BatBits #2007,187,133.50708053690497,6,Orange,Yellow,Ninja,Smiley Lashes,Long Black,,Chob Lip
217,BatBits #217,188,133.48260977540804,6,Yellow,Orange,Loco,Triple,Earing Bar,,Smile
1758,BatBits #1758,189,133.3394230424083,6,Sunrise,Black,Yellow Skirt,Simple Lashes,Earing Bar,,Wide Sad
2029,BatBits #2029,190,133.2693674655348,6,Yellow,Sky,Orange Hoodie,Hearts Lashes,Caphead,,Scar
2806,BatBits #2806,191,133.17809665862217,6,Purple,Red,Ninja,Bored Lashes,2Pac Yellow,,Wide Smile Lip
918,BatBits #918,192,133.17565178736507,6,Orange,Orange,Lazy,Sunglasses,Tophat,,Sad Lip
447,BatBits #447,193,132.97065511127295,6,Purple,Green,Jacket,Dollar,More Weird,,Scar
113,BatBits #113,194,132.9670249972555,6,Purple,Green,Jacket,Pirate,Party,,Sad
412,BatBits #412,195,132.73864998057888,6,Purple,Black,Loco,Single Lashes,Buckethat,,Tongue
1770,BatBits #1770,196,132.49481808509194,6,Purple,Blue,Gladiator,Glasses,Batbit Hat,,Wide Smile
1688,BatBits #1688,197,132.3473919287083,6,Purple,White,Wired,Simple,Caphead,,Sad
490,BatBits #490,198,132.28748304978123,6,Toxic,Purple,Bluestar,Simple Lashes,More Weird,,Wide Sad
1391,BatBits #1391,199,132.2811563319089,6,Sunrise,Orange,White Hoodie,Rip Lashes,Boat,,Smile
119,BatBits #119,200,132.12543236285842,6,Sorry,Sky,Bluestar,Glasses,2Pac Yellow,,Wide Smile
2937,BatBits #2937,201,131.96310556483,6,Orange,Orange,Wired,Simple Lashes,Caphead,,Wide Sad
1973,BatBits #1973,202,131.9500993714411,6,Sorry,Red,Jacket,Hearts Lashes,Tophat,,Chob Lip
1870,BatBits #1870,203,131.7286131609105,6,Blue,Purple,Blue Crewneck,Bored,Trackers White,,Hmm
1807,BatBits #1807,204,131.6946157515926,6,Sunrise,Red,Patch,Smiley,Earing Bar,,Derp
2731,BatBits #2731,205,131.58042131602727,6,Orange,Green,Mime,Sunglasses,Bandana Black,,Straight Lip
1171,BatBits #1171,206,131.43160656983824,6,Orange,Purple,Hipster,Rip Lashes,Flower,,Wide Smile Lip
2070,BatBits #2070,207,131.42428712808194,6,Love,Blue,Tie,Msr,Sailor,,Wide Smile Lip
195,BatBits #195,208,131.401259877833,6,Sunrise,White,Crewneck,Simple,Flower,,Smile
1757,BatBits #1757,209,131.3888971673366,6,Sunrise,Green,Tie,Single,2Pac,,Sad
1387,BatBits #1387,210,131.24555235394237,6,Toxic,Blue,Lazy,Bored Lashes,Viking,,Wide Smile
1787,BatBits #1787,211,131.2411248218335,6,Sunrise,Blue,Polo Orange,Glasses,Boat,,Sad Lip
1937,BatBits #1937,212,130.91732986755747,6,Love,Yellow,Wired,Triple,Trackers White,,Chob Lip
1830,BatBits #1830,213,130.8850579860361,6,Yellow,Blue,Ninja,Dollar,Long Blonde,,Wide Smile
340,BatBits #340,214,130.86429995591945,6,Sunrise,Black,Hipster,Simple,Long Blonde,,Chob Lip
1357,BatBits #1357,215,130.83716457791536,6,Sky,Green,Crewneck,Sunglasses,Tophat,,Wide Smile Lip
1195,BatBits #1195,216,130.7726861714431,6,Yellow,Sky,Gladiator,Rip,Long Blonde,,Smile
2954,BatBits #2954,217,130.6735988494977,6,Blue,Orange,Yellow Hoodie,Bored,Viking,,Chob
2474,BatBits #2474,218,130.4606606988739,6,Blue,Sky,Blue Crewneck,Rip Lashes,2Pac Yellow,,Disappointed
2736,BatBits #2736,219,130.40739314890138,6,Love,Green,Tie,Hearts,Flower,,Straight
1276,BatBits #1276,220,130.32506897527756,6,Toxic,Blue,Jacket,Single,Short Blonde,,Hmm
941,BatBits #941,221,130.30143680723074,6,Orange,Green,Loco,Smiley Lashes,Earing Bar,,Straight Lip
1840,BatBits #1840,222,130.11710976472355,6,Yellow,Blue,Mime,Simple,2Pac Yellow,,Sad
1834,BatBits #1834,223,130.05093064985786,6,Toxic,Green,Bluestar,Dollar Lashes,Boat,,Wide Sad Lip
1293,BatBits #1293,224,130.04467100372915,6,Orange,White,White Hoodie,Smiley Lashes,Buckethat,,Hmm
1141,BatBits #1141,225,130.0126000748793,6,Toxic,Pink,Wired,Simple,Boat,,Straight
322,BatBits #322,226,129.95368564704856,6,Rainbow,Purple,Crewneck,Bored Lashes,Tophat,,Smile
2423,BatBits #2423,227,129.61258734833038,6,Toxic,Pink,Wired,Triple,Bandana Black,,Smile
1242,BatBits #1242,228,129.38324927281536,6,Sky,Green,Blue Crewneck,Sunglasses,More Weird,,Disappointed
2289,BatBits #2289,229,129.34280519381,6,Toxic,White,Gladiator,Bored Lashes,Traditional,,Wide Sad Lip
335,BatBits #335,230,129.28263079808286,6,Blue,White,Ladybug,Smiley,Caphead,,Disappointed Lip
559,BatBits #559,231,129.27312572021768,6,Orange,Red,Blue Crewneck,Msr,Taxi,,Wide Sad Lip
521,BatBits #521,232,129.26016474184803,6,Yellow,Green,White Hoodie,Glasses,Tophat,,Sad Lip
