ID,Name,Rank,Rarity_Score,Accessory,Attributes,Background,Clothes,Eyes,Head,Legendary,Mouth,Skin,Tattoo
786,SadPython #786,355,132.72902978380787,Calc,7,95S,Dale,Dazed,Fishman,,Mouth 6,Pinky,
2622,SadPython #2622,356,132.56365590320448,,6,95S,Prisoner,Lament,Livingstone,,Mouth 3,Ultramar,
1330,SadPython #1330,357,132.47467552933256,Soap,7,Misty,Rocknrolla,Sceptic,Lordofwar,,Mouth 6,Ruby,
2688,SadPython #2688,358,132.4469965884186,Fishrode,6,Myday,Mets,Sorry,,,Mouth 5,Charcoal,
3163,SadPython #3163,359,132.26619335664836,Palm,6,Cemento,Chester,Dead,,,Mouth 1,Charcoal,
28,SadPython #28,360,132.19680820559753,,5,Misty,Feelsgood,Energetic,,,Mouth 7,Amarillo,
714,SadPython #714,361,132.1630124979415,Razorblade,7,Cemento,Redshirt,Energetic,Punk,,Mouth 14,Amarillo,
3213,SadPython #3213,362,132.04956104531135,,6,Cemento,Redshirt,Closed,Livingstone,,Mouth 13,Honeycheese,
167,SadPython #167,363,132.04171261685104,Alienblaster,6,Dark,Marty,Crying,,,Mouth 7,Charcoal,
2868,SadPython #2868,364,131.95623957100696,Razorblade,7,Myday,Dale,Painful,Rider,,Mouth 5,Green,
3295,SadPython #3295,365,131.9220511650555,Cigarettes,7,Dark,Prisoner,Distracted,French,,Mouth 10,Violet,
3252,SadPython #3252,366,131.8548561599027,Zubenyakov,7,Cemento,Office,Closed,Oldy,,Mouth 8,Amarillo,
706,SadPython #706,367,131.7808002797209,Razorblade,7,Dark,Sweater,Closed,Pylice,,Mouth 2,Honeycheese,
1233,SadPython #1233,368,131.3664597503837,Zubenyakov,7,95S,Sweater,Painful,Chocohaircut,,Mouth 2,Charcoal,
1658,SadPython #1658,369,131.25701648158073,Gun,7,95S,Casual,Lament,Dora,,Mouth 6,Stone,
847,SadPython #847,370,131.06076549675527,,7,Myday,Chester,Lament,Firefighter,,Mouth 5,Stone,Bitcoin
1361,SadPython #1361,371,131.00177468429615,Nitrilglove,7,95S,Deliveryboy,Dead,Oldy,,Mouth 2,Pinky,
2820,SadPython #2820,372,130.97613461471127,Cigarettes,7,Cemento,Prisoner,Sorry,French,,Mouth 6,Honeycheese,
1654,SadPython #1654,373,130.84774754209693,Zubenyakov,7,Misty,Mets,Distracted,Chocohaircut,,Mouth 11,Honeycheese,
2789,SadPython #2789,374,130.8334571845532,Zubenyakov,7,95S,Deliveryboy,Crying,Mrsdavis,,Mouth 14,Pinky,
1097,SadPython #1097,375,130.68814436287562,Iwatch,7,95S,Dale,Lament,French,,Mouth 3,Ruby,
2412,SadPython #2412,376,130.64615712735096,Zubenyakov,7,Myday,Dale,Energetic,Windy,,Mouth 15,Amarillo,
1050,SadPython #1050,377,130.56557180689487,,7,Myday,Pyman,Dazed,Windy,,Mouth 11,Honeycheese,Solana
2237,SadPython #2237,378,130.42922677880162,Gun,7,Myday,Chester,Sorry,Pfc,,Mouth 4,Stone,
3004,SadPython #3004,379,130.42883456241069,Knife,7,Dark,Casual,Painful,,,Mouth 3,Amarillo,Bitcoin
1092,SadPython #1092,380,130.3581167862608,Strike,7,Cemento,Redshirt,Dazed,Mrsdavis,,Mouth 5,Stone,
896,SadPython #896,381,130.30249245596534,,7,Misty,Office,Sceptic,Fishman,,Mouth 6,Green,Bitcoin
2629,SadPython #2629,382,130.12714260937162,Gun,7,Myday,Deliveryboy,Painful,Mrsdavis,,Mouth 12,Cyan,
727,SadPython #727,383,130.02805723166793,Zubenyakov,6,Myday,Astro,Closed,,,Mouth 6,Pinky,
1145,SadPython #1145,384,129.86762706565202,,6,Dark,Astro,Sorry,Oldy,,Mouth 9,Honeycheese,
990,SadPython #990,385,129.64006456970955,Calc,7,Myday,Office,Sceptic,Pylice,,Mouth 12,Amarillo,
1711,SadPython #1711,386,129.51647691227973,Fishrode,6,Cemento,Casual,Lament,,,Mouth 13,Cyan,
241,SadPython #241,387,129.4973956206077,Cigarettes,6,Misty,Firefight,Dazed,,,Mouth 4,Cyan,
1820,SadPython #1820,388,129.20717086483924,Herrig,6,Cemento,Prisoner,Sorry,,,Mouth 8,Amarillo,
2098,SadPython #2098,389,129.12794957640452,Knife,7,Cemento,Mets,Energetic,Chocohaircut,,Mouth 8,Violet,
1515,SadPython #1515,390,129.105579409358,Cigarettes,7,95S,Mets,Energetic,Peasant,,Mouth 13,Ruby,
356,SadPython #356,391,128.76679974093923,Egg,7,Dark,Rocknrolla,Crying,Starducks,,Mouth 14,Ultramar,
337,SadPython #337,392,128.72871272580178,Nitrilglove,6,Misty,Bag,Shocked,,,Mouth 7,Green,
212,SadPython #212,393,128.72416697642103,,5,Dark,Mesa,Distracted,,,Mouth 13,Cyan,
1920,SadPython #1920,394,128.6966701808708,,6,95S,Pyman,Closed,Chocohaircut,,Mouth 12,Pinky,
335,SadPython #335,395,128.65747114882802,Ledger,6,Dark,Tommy,Energetic,,,Mouth 7,Cyan,
3214,SadPython #3214,396,128.56464698747422,,7,Myday,Chester,Sceptic,Rider,,Mouth 11,Ruby,Tezos
638,SadPython #638,397,128.30557420028447,Dope,7,Misty,Redshirt,Dead,Chocohaircut,,Mouth 7,Stone,
1518,SadPython #1518,398,127.91218537335136,Gun,7,95S,Fishman,Closed,Oldy,,Mouth 5,Pinky,
3298,SadPython #3298,399,127.72304879164463,,5,Misty,Mesa,Shocked,,,Mouth 6,Violet,
3340,SadPython #3340,400,127.69013751340499,,7,Cemento,Marty,Sceptic,French,,Mouth 10,Violet,Bitcoin
1779,SadPython #1779,401,127.58449074671806,Phone,7,95S,Pyman,Sceptic,Rider,,Mouth 10,Charcoal,
3073,SadPython #3073,402,127.57235876232,Zubenyakov,7,Dark,Fishman,Closed,Lordofwar,,Mouth 7,Violet,
1690,SadPython #1690,403,127.54907521939144,Knife,7,Misty,Dale,Lament,Mrsdavis,,Mouth 10,Amarillo,
1325,SadPython #1325,404,127.54840661676533,Zubenyakov,7,Cemento,Casual,Dead,Starducks,,Mouth 11,Amarillo,
