ID,Name,Rank,Rarity_Score,Angle Mod,Attributes,Center Effect,Circles Amount,Color Blink,Color Changes,Distribution,Inks,Inks Count,Noise Amp,Noise Animation,Noise Frequency,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
792823,Plottable Field (8 frames) #129,381,45.65441475279094,None,7,None,None,None,Group,GoldSpiral,Black,1,High,Intense,Medium,QmQtyMRr3wEP2YYjJc7bM9oYy6Ld4qNLFhqy1m9TWpFdfS,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ood96Lik8CB8WEREaqCwZg9tMk5ApuWqWJr59DRNHCfJPW1EV5G,ipfs://QmQJ61wD3aKhWwktzLx3RmynyGaxeE5CPNy1hQZ77zAqum,ipfs://QmdoDLn4AtJGB2zGN4WTWGCDVPZL7NHd2kFcTLoSNjsNGF
767326,Plottable Field (8 frames) #23,382,44.85044880958577,None,6,None,None,None,None,GoldSpiral,Hope Pink,1,High,Normal,Low,QmQbVanbYeh16W2uZ8QHAdQEoZEB4LnR8ZzuThYdzPHhRq,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=opRaREkMmRvwbjZE1yGqTJzXFxNjd1wX4PhjpzUD2xduXVR5GiY,ipfs://QmfK1gJLawdrs3hQXe6kx2FaH5LRQvbsHkb5dVfVL3iUq4,ipfs://QmSkf9aRUX2B6ShvUjUhYbZF5GeNrN5XPojGp3YLPwzBLK
767317,Plottable Field (8 frames) #21,383,44.146729368869295,None,6,None,None,None,None,Voronoi,Amber,1,High,Normal,Medium,QmdjWX2Vx4GqCb4bNC94Pce4J2JkvS8KmDsHrK5pHCNstC,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=onphDVsCesEvQtDs3rcwtNrK8s7QA8hU8Zq7KEPpbhb7wp9VkPp,ipfs://Qmf9orKGLhZgMsdKE3XV5btzU2fWjWZtjTGDXcLvELiraU,ipfs://QmXhNJWUbKXGRY5Jow3c6GQTsfhfE2rFyiRLQAJfM2UmL8
814335,Plottable Field (8 frames) #151,384,42.50009056705808,None,6,None,None,None,None,NestedSquares,Black,1,Low,Normal,Medium,QmafVoGs4pC8gfMT7GQbjyodNNCRbafZuuDj1s9p9TJMxS,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=opKopvJoxQmEp8cAjypt5WpvT1SdES9MUH2vQXjvER28pFt6yN4,ipfs://QmTA44Yp7LreYtjR9nkSCACFskyAVf4iGoGG4XEVvTivKJ,ipfs://QmUDzXHxuBjoyS5nMB4V28tbmY6cf4ppPjxznLw5u54JTe
814347,Plottable Field (8 frames) #152,385,41.75934982631734,None,6,None,None,None,None,Parametric,Black,1,High,Normal,Medium,QmX4xEdpBgyr8c6iP8mE1ZhueqEo4tseDWCu2FkEo9CZwH,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ooV9tZ974dawbYU9U5UiJopjvrxL9ExAj3wACTwsJo2fyuyqZVe,ipfs://QmXdY5Kewyvff8no5eKNZLvkJjWp9s58hW4vtpGB7Jqnmh,ipfs://QmZCwwwCEyvJiHdhxFDN7rR73krH4vHpKEA7yFsB3eYSNu
921669,Plottable Field (8 frames) #267,386,40.73763845977838,None,6,None,None,None,None,NestedSquares,Amber,1,High,Normal,Medium,QmSCdETFdwz9WvsLxqqs9CyixFuSMxd85UVKWeVtXbjf65,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=oo1skaaDZH2kFamiPMfns6pSH1U6icnvkvs6iTmXXpSEvPhcgi4,ipfs://QmaS4A2EHQT1NDVhr43jjneQX24RduPfG4Fisx3i31bjyN,ipfs://QmabA7EqGUaC9S59kuH2a7qhggad8ZoGaoacvZ6qjJRipx
879982,Plottable Field (8 frames) #186,387,40.3926448168453,None,6,None,None,None,None,GoldSpiral,Amber,1,High,Slow,Low,QmbyNYe21QcZdXXG8nH2R3wi3xK5T56awfiB7jAdkUExYU,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ooFq3Jd25BJWj5kqv7hJvv69EVzhsVaj5bnXRiLt2wvQznhakrR,ipfs://QmUu6D5k3pSEdfo3t7PXPXqncrSbA94dfzVzDrRK3WQEAk,ipfs://QmZJ7XwW9hYA8eQJrndcsV5CSWNrJWNY5Y38yJTuhsyVgp
998612,Plottable Field (8 frames) #324,387,40.3926448168453,None,6,None,None,None,None,GoldSpiral,Amber,1,High,Slow,Low,QmRjc1LYXuhzJrEyCCCW6xaycccqDrUDYfzWEuhavQzZgq,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ooLoQaEFctyZbWCeVoKtp4cpRDEodx54uaypGFPGG1zCkY89vLX,ipfs://QmTqHfxAbvdL9EHs1hKAfrqYR4W5wLkizG5BQCGkE8BLnX,ipfs://QmR9BkmUG7fM1FvyBGV67VPwEZ3BEfooQVUFNBV2PtfPCg
879578,Plottable Field (8 frames) #174,389,40.14122771372548,None,6,None,None,None,None,GoldSpiral,Amber,1,High,Intense,Medium,QmWXKmD9fcauYtee9P7xHnDbT9Hx2V8Sr9yitV5F8ZifC9,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=ooajMbx2HpvenwJ6VXr6QXjMcjiyXmRRHq7J6kwJ3VeUA6vt4hf,ipfs://QmdTRWf18ac1dHm89xLvPtoWVKtTaFXnmSwLT3dyucDwPM,ipfs://QmWuf6jNP1bvN4AQioXGaJsX7fVkR5SSCdkwJTPpQYLFhd
777609,Plottable Field (8 frames) #109,390,37.43940552739911,None,6,None,None,None,None,GoldSpiral,Amber,1,Medium,Normal,Low,QmNZpcAwMW5supGUsVT5yfSEgKkNCBCvpQ4NNVdFH8WP5m,ipfs://QmT3chzqEnYy52v37LuUKVaEUVAHhGonbapKZy2CdP6vFk?fxhash=onhWfX8ppiQhbqXGfJEbs199ivUtLtX7gt2RAeZ4dYHV2ko5Deb,ipfs://QmRbF88nqAD5deRvM28VPNhqJhNzw8PR9xgDy1PFJ1h7xL,ipfs://QmReGFCXpA7MgJXmMmTwqr7ZuLQ1J1S3oCf4uRoqNyGtvz
