ID,Name,Rank,Rarity_Score,Angle Mod-Scores,Attributes-Scores,Center Effect-Scores,Circles Amount-Scores,Color Blink-Scores,Color Changes-Scores,Distribution-Scores,Inks-Scores,Inks Count-Scores,Noise Amp-Scores,Noise Animation-Scores,Noise Frequency-Scores
880196,Plottable Field (8 frames) #191,159,129.54376977154706,80,2,1,1,1,1,9,9,1,2,18,1
998641,Plottable Field (8 frames) #353,160,129.03427587790682,80,2,1,1,1,1,12,9,1,8,6,3
865237,Plottable Field (8 frames) #162,161,127.35403960981911,1,2,1,1,1,11,9,80,2,8,6,1
1131787,Plottable Field (8 frames) #386,162,125.99424764653102,1,2,1,1,1,40,14,50,2,2,7,1
879653,Plottable Field (8 frames) #177,163,125.13455363853974,1,2,1,1,1,22,14,66,2,2,6,3
792824,Plottable Field (8 frames) #130,164,124.34922203980437,1,2,1,1,1,1,26,66,2,2,14,3
792822,Plottable Field (8 frames) #128,165,123.75169555918285,1,2,1,1,1,22,4,66,2,2,16,1
998614,Plottable Field (8 frames) #326,166,123.74040534891039,1,2,1,26,1,1,33,20,1,8,7,18
770419,Plottable Field (8 frames) #86,167,122.31358170171414,1,2,1,1,1,40,4,50,2,2,14,1
1131780,Plottable Field (8 frames) #382,168,122.08272009014414,80,2,1,1,1,1,14,9,1,2,3,3
882485,Plottable Field (8 frames) #195,169,121.78269493586936,1,36,1,1,1,1,12,44,1,2,16,1
921633,Plottable Field (8 frames) #256,170,121.62599342791897,1,2,1,1,1,36,18,50,2,2,3,1
998636,Plottable Field (8 frames) #348,171,120.30619316397505,80,2,1,1,1,1,9,9,1,2,7,3
767435,Plottable Field (8 frames) #33,172,119.72754496299756,1,6,1,12,1,22,11,33,1,8,18,1
913472,Plottable Field (8 frames) #235,173,117.91299357788422,1,2,12,1,1,1,9,20,1,8,40,18
908993,Plottable Field (8 frames) #229,174,117.72922448804658,1,2,1,1,36,1,4,50,2,8,6,1
767539,Plottable Field (8 frames) #48,175,116.73316172727795,1,2,1,1,57,1,9,23,2,8,6,1
774699,Plottable Field (8 frames) #102,176,116.27893993063176,1,2,1,1,1,11,57,26,1,2,6,3
810003,Plottable Field (8 frames) #147,177,115.82590992428614,1,2,1,1,1,11,57,26,1,2,7,1
965225,Plottable Field (8 frames) #288,178,115.59587985582787,1,6,1,12,1,11,11,23,2,2,40,1
879705,Plottable Field (8 frames) #182,179,114.98263678456233,1,2,1,1,1,36,4,57,2,2,3,1
998633,Plottable Field (8 frames) #345,180,114.88122509405518,1,2,12,1,1,1,12,66,1,8,3,1
773805,Plottable Field (8 frames) #98,181,114.30100471833008,1,2,1,1,1,1,12,80,1,2,7,1
765980,Plottable Field (8 frames) #15,182,113.94688165971175,1,2,12,1,1,1,18,66,1,2,3,1
929654,Plottable Field (8 frames) #275,183,111.8412474944219,1,2,1,1,1,1,30,26,1,2,40,1
881019,Plottable Field (8 frames) #193,184,110.15388848722762,1,2,1,12,1,1,33,44,1,2,6,1
767590,Plottable Field (8 frames) #52,185,110.08809213333598,30,2,1,1,1,1,16,20,1,8,6,18
879696,Plottable Field (8 frames) #181,186,110.05068154733321,30,6,1,12,1,1,11,33,1,2,6,1
