ID,Name,Rank,Rarity_Score,Attributes,Composition,High weight brush,Palette,Style,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
1156660,Flustels #32,21,51.17859209257474,4,Composition #2,False,Palette #8,Style #4,QmYqR185eLVQ3z5w24zT2dWdtpnKCpoV1HtXGtPQrAKuPe,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=ooeUWqSpSeXVzhAWSvKdkMoCPhcGYRF7H3JvJHTttgFEgqaNjBB,ipfs://QmTbEFroXrRBFXBkwckWek2ikU3pFWvqg2S2AqrxeiWGkA,ipfs://QmWjfvwJgQ2GCQ2tuUpr78U39YSSdwGQHdr9wLWTa3iPfi
1157199,Flustels #74,22,48.910364145658264,4,Composition #3,True,Palette #8,Style #4,QmdY1E6izFY6DjTMau8U3N2PAQrASjrem9yBkNUjAEvD2y,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=op7TnQPpBdAmyyMoWQQnhiW7wo9UEJbkXjSL267N1haED9Mh5wP,ipfs://QmagHoQ68VnPi9aMGAsfWppErUjvzso4fetLbiJPVrkbNJ,ipfs://QmQgPwuaSi3JdL3vhuyvBb7FuBJAswS4fyp8xzCipDP8qf
1157179,Flustels #63,23,47.45870413739266,4,Composition #1,False,Palette #17,Style #6,QmRYUN5knBuBTWcEnPUF34gAcVbDfvuPVRREaoPJLX7dMZ,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=ooUgi2pxhKcJhzbmr91X6BvPz5DN4YhR3QDKt4MfpvvZe2579hV,ipfs://QmehQBePPfhKmg9Fcq5oBurpTnZqRLV2XNK4jCi9DWs7iG,ipfs://QmVVCrkNy7y8PRAYWK3LdzKfTGFyyLA2QAE5TfSq7i8BYX
1157244,Flustels #92,24,46.582513661202185,4,Composition #4,False,Palette #5,Style #8,QmXytv4mABC4BNqoHHacnpHWgdbATKfoNUvLrbRgsFKvKx,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=ooqAeFS8x81EAHGyiCSjqdhbvtjhJJ995vS7G1MHC2df1WyuDmT,ipfs://QmRzXpPjuRkC7zUnqbZA2Au7dZhhnLfKfAriRWzNSxJfQW,ipfs://QmRYT93Y9hX15XQiVEuEVEXYapz6LXqpemuaNdDYkhd1kn
1155268,Flustels #9,25,46.23965651834504,4,Composition #3,False,Palette #15,Style #1,QmPMv3gbegnmyoKqPbPKGeJNvnWjT6SHmmLmNERpnpEokG,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=ony7mY3mz4z9cR8qVmNSFsjKyypGnZqjsHuWJ7gXcHxKhumbEU2,ipfs://QmP8TPSKMcUL2DPW2fxCRya8PokyF4sd1N5dx9mUrD5FPQ,ipfs://QmZAEVda7UgcANJCXuFbVczmJKgifMn3SHduZqqfNHJfWT
1156785,Flustels #44,26,45.87140255009108,4,Composition #4,False,Palette #1,Style #5,QmZyA6cnZg7HYQtYm66qMhRXSbvDspRtQahbMsSsziZfGh,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=oo14DpRXT2aPBk9quN5Q8MNgTTPkG75KumWDvSnz3aBTyzocqzX,ipfs://QmYekBjhjoroFCUXmr8ri73frKSurZ49VvGgTf8rxWsHp5,ipfs://QmYGtJZsigquw6ppmB1cHBndFMoWPeFuJ5z5cSQYuMQb99
1157185,Flustels #67,27,45.630132708821236,4,Composition #3,False,Palette #4,Style #8,Qma6f4xBJVWv5wThpA7wRPpxNSWeEgLvUGwEuV7Q8Ad3ve,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=onpYpJW7ipv91WvGLUBLaJNJU7878rDVEL23tcDypYb6VDpLJJK,ipfs://QmcyZWSB1RMWCFAL8F7UuCPvCok8n67WEfsZt4mtHgy6xP,ipfs://QmdHV1RDb1RUYkDWe9z7Qwdm1TW5HRfZ9AtZQdj2pircGj
1157278,Flustels #116,27,45.630132708821236,4,Composition #3,False,Palette #4,Style #8,QmZCcDEJzshKZ77zzCP1uFFfumV4N7rWMZavFfKthQKjeJ,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=ooEfG8ykUM55fHvUfhKCpmUerkLvUeHc8koEguCYHJnDuK2RPzA,ipfs://QmSYbPeG3aiG4oxyJganrfzmCizF6JtDM7xK3fQdyV28k1,ipfs://QmV1k3PpYea53utSUtiY5aRwSu59jZ2k4wgNZehpC6BYsL
1156689,Flustels #38,29,45.57859209257474,4,Composition #4,False,Palette #5,Style #2,QmVhpUxDjevXSUVDVPJidhZVQSut7LSkxAk4YL1yDxFSut,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=onmwhcSXuUSAHQ8quMg6MwsyaX3mgMrpR13NdhR1ZJ9CrKDDyFh,ipfs://Qmf78VhrDEFyJru5kymZX2fV23rjM4yuEkDsUciMdBiB9E,ipfs://Qme2HXFaJXhHwtr8ZQTMjv9nWcPwKBoYwFhceCknF5dGj5
1155966,Flustels #20,30,45.528545407233935,4,Composition #5,False,Palette #14,Style #5,QmfU7zUSz7MYdiM3GC94wEaiRc4R3YVWC9iDWSYzwiSuGK,ipfs://Qmf1rcuQWAhTmVnaxFXygbYYF8msK38BptqzwdTiVbtKwm?fxhash=opQdi8cE1Am84ExrMqzwWWSExLJeDapqh4wfhfRgcNzWUqDTUZV,ipfs://QmduES1Ef1uD9rkqpgppZpxckUYAnheYspUQzDpoZXLGoo,ipfs://QmYDHV8TAj1qHURnqZGv7QeVBHhWyaeZj1zqtLvSrn6Jua
