ID,Name,Rank,Rarity_Score,Attributes,black & white,board material,feeling,free will,mode,number of layers,rendering,round pads drilling,shape,side,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
1046704,Bright Circuits #18,22,206.80726416137367,10,no,paper,approximately adventurous,obedient,text,1,flat 2D,never,circle,bright,QmWijKSb5zPsFGRptBjM13faMGntCxQ7LbQiS8eC4YRwvm,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=ooQiDvuSA4hbjHSpMAsh4V9kBWcoUGk1FaiFr3eBNkiNZNg5AJw,ipfs://QmRgD2bK2affCyXGFvzNTZWj72Hye8gajcm8mHEbBPme62,ipfs://QmYjQuM6v2tzgfrmxU9E58ewEy1xiruXD8H3wJqACPGRmB
1055835,Bright Circuits #134,22,206.80726416137367,10,no,paper,slightly puzzled,obedient,text,1,flat 2D,never,circle,bright,QmXYEWQvpY98GuBGXrSGDFPVSsDmfnPVAG19Z8xjpZrmoG,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=ooDGqKNpm7YZJa74p4xZokbbpTrPhyiC6iBTmwFKxQhwtAfWRdu,ipfs://QmZSa3q7Sg43tBLKVc7RsgrdHz1biFu5JWBFLYvJenv4kz,ipfs://QmRXBhpJfdxYe3s2ThiK2U4q5aD9m9W9C1V3hKbN5J8ghe
1047527,Bright Circuits #93,24,206.29138365822902,10,no,sandpaper,randomly envious,obedient,text,1,flat 2D,never,boxed,bright,Qmew9gmVxzs2hj7AXkgyeWr5FmQR2DbxFsCCbCB5yUCG9A,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=ooXYWT78qNujHgRUCscb2egUL5WRyG9Lr8qze3tsPdwoMqNMgh7,ipfs://QmdGUDoik3QGpeTrLiLMqoC43PHLeifdPoPg5ZFj9Sedvd,ipfs://QmTe6TLfUoUWh3nh7K4J1frq61FX38jQRgmRwoDFrxFykH
1047194,Bright Circuits #66,25,206.28360408799253,10,no,glass,randomly restless,artistic rebellion,text,2,isometric 3D,never,circle,bright,QmasvcTPmUfiw374gSXQ8LVZRQEhWhZBrCSQjxoACHpsXJ,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=onhxcr6qQR3P5SaCFzH4nPE3gqsCqJKeXzuDjHBR7t2H9dw2qNq,ipfs://QmeSC7mwLC9JJAvb1JZWUW8cYL4iCs3km8aoMFu5P8Frbn,ipfs://QmeaMeJowJ3oyVRQCDZ9JHq8YUgCoGKmrnpC8Wfpobvwd1
1047930,Bright Circuits #110,25,206.28360408799253,10,no,glass,oddly shameless,artistic rebellion,text,2,isometric 3D,never,circle,bright,QmSbDq2D53KJXuHSENXaZmi78bbhZgBcwhZUAWeDHJne5p,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=ooqXRjboknS7xvq5jNULbVRKTw8wt8vecYFVVMXukpygDA3vgpp,ipfs://QmQYMiw7oqQc2VtQ8MfU7JngBGjSUvfUiqc3bNk7i7gY8h,ipfs://QmXZhR3JGBZRJyRGZRwhiFtGUnbqq96UtfH4xihaCmTG5i
1048128,Bright Circuits #116,27,206.25596699156233,10,no,glass,approximately nostalgic,obedient,text,1,flat 2D,never,circle,bright,QmfP6ggFL79fPmGE4xx2FfdiVoBcpXSo95QHCeW3jApHwJ,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=onrToDt5eH6MM2zMi2DXyhgmVprTy7YxBJeHgexFYRpZToFkcbp,ipfs://QmTXE5GAsrvcLrHjvjdn7XVruoRRKPoeqNfPTbpnUxnegG,ipfs://QmPwDAtrCNjpxEcs71nZUsh6JNXEd5soo5KeoswEfqFiYx
1046715,Bright Circuits #25,28,205.81900127924072,10,yes,glass,definitely confused,obedient,random points,2,isometric 3D,never,heart,dark,QmVpXPAWrVtXwvXmqTvUUYs3vzTiXN5rU2x7a7NjfAjCDL,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=opA6JHhfe2vonL7sdAFJDYSajtgvGprimodVhpydFYQ9wSHVAGL,ipfs://QmYDAhs6b9qaeGHoASoFAF3GMquzsNpAAcQGp3ZxN1ch5S,ipfs://QmYYBJmQPCQgYrLQX3x2gH5oW6qn9F7nFf9TBtqo7PP7Ji
1048394,Bright Circuits #117,29,204.9321732832981,10,yes,glass,substancially deterministic,obedient,random points,2,isometric 3D,never,heart,bright,QmexNeHPPSMbRpV6F4Jj5q5Uq4GkuaUX4biDSNEaqLALV9,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=opJo6vVcuzkoykSeXCmndBcXTZ7fo4Fs2je42KEabb74dDxQQ5y,ipfs://QmUMSks9VpnmggCYgH5fjuhb54ghe1Dzm8ymxRtMHhLXFc,ipfs://QmUdpnkTUuKyd4yGZ5xF38BXFLCfDuBKVXGhgJVX13UXUE
1056158,Bright Circuits #139,30,204.89532348418777,10,yes,sandpaper,plain sensitive,obedient,text,2,isometric 3D,never,heart,bright,QmUEgpUSVsCoKtmryYVxFLwV3MdzmunqqcqTgaEycQTeWm,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=opWDFA5FTN9nqFVZncL1XGeoWDNLNFP2X9Hbj6fefgEyUq14knS,ipfs://QmaDuVhNuAFXpgWqNRG5SuUj3ZpptbGKHXsonkrTSuJnL1,ipfs://QmeSHh4b5CQ9JvWLMb6GoiVFfpvPbjaLvMp3gSCEQewaia
1046693,Bright Circuits #8,31,203.1379976950113,10,no,glass,weirdly irritated,obedient,random points,2,isometric 3D,never,skull,dark,QmdeMUy5W8NTYujKBxUDcVpJFhm5yyzYdSaxbX6HZAPu4w,ipfs://QmaV8txrVjdHzqehsAeypa4QPPssrgTdaNNmQNWewk42b1?fxhash=ooUzKekhjxtWj2nyTHtLe8jdsECE8VrHdm2ev4Rd9ZKuaLVuKcJ,ipfs://QmZZoo6yGSYrSjcynq7ErKMP8aRhgAYowHSVbw7cttq3xK,ipfs://QmaXZYSKMJDWBnjN1zjHZpAUb8U28Kf1xVsHmSVzEZrq5n
