ID,Name,Rank,Rarity_Score,Attributes,Base Blocks,Height,Palette,Shadow,Sky,Sun,Window
1168120,BRUTALIST MOVEMENT #116,178,50.92152777151157,7,4,Tall,Signature Plus,Black,Deep Lemon,Blue,White
1168129,BRUTALIST MOVEMENT #125,179,50.70389550076507,7,8,Tall,Signature,Black,Red,White,Blue
1168022,BRUTALIST MOVEMENT #19,180,50.33479307763402,7,3,Tall,Signature Plus,Black,Deep Lemon,Blue,White
1168026,BRUTALIST MOVEMENT #23,181,49.71671601358558,7,7,Tall,Signature,Black,Red,White,Blue
1168017,BRUTALIST MOVEMENT #14,182,49.64415155257285,7,6,Tall,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168030,BRUTALIST MOVEMENT #27,182,49.64415155257285,7,6,Tall,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168187,BRUTALIST MOVEMENT #182,182,49.64415155257285,7,6,Tall,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168172,BRUTALIST MOVEMENT #167,185,49.46420845157712,7,5,Tall,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168236,BRUTALIST MOVEMENT #226,186,49.46132468475676,7,6,Tall,Signature,Black,White,Red,Blue
1168036,BRUTALIST MOVEMENT #33,187,49.2934932019145,7,8,Tall,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168202,BRUTALIST MOVEMENT #197,187,49.2934932019145,7,8,Tall,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168220,BRUTALIST MOVEMENT #215,187,49.2934932019145,7,8,Tall,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168103,BRUTALIST MOVEMENT #100,190,49.11066633409841,7,8,Tall,Signature,Black,White,Red,Blue
1168039,BRUTALIST MOVEMENT #36,191,48.55631371473502,7,4,Tall,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168076,BRUTALIST MOVEMENT #73,191,48.55631371473502,7,4,Tall,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168051,BRUTALIST MOVEMENT #48,193,48.30631371473502,7,7,Tall,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168201,BRUTALIST MOVEMENT #196,193,48.30631371473502,7,7,Tall,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168214,BRUTALIST MOVEMENT #209,193,48.30631371473502,7,7,Tall,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168018,BRUTALIST MOVEMENT #15,196,47.969579020857466,7,3,Tall,Cloud Noir,Black,Gunsmoke,White,Vampire Grey
1168385,BRUTALIST MOVEMENT #247,197,47.499436967874466,7,6,Medium,Cloud Noir,Vampire Grey,Black,White,Gunsmoke
1168161,BRUTALIST MOVEMENT #156,198,46.667938723981564,7,3,Medium,Signature Plus,Black,Deep Lemon,White,Red
1168106,BRUTALIST MOVEMENT #103,199,46.41159913003663,7,4,Medium,Cloud Noir,Vampire Grey,Black,White,Gunsmoke
1168212,BRUTALIST MOVEMENT #207,199,46.41159913003663,7,4,Medium,Cloud Noir,Vampire Grey,Black,White,Gunsmoke
1168047,BRUTALIST MOVEMENT #44,201,46.200069993266474,7,4,Medium,Signature,Black,Blue,Red,White
1168072,BRUTALIST MOVEMENT #69,201,46.200069993266474,7,4,Medium,Signature,Black,Blue,Red,White
1168045,BRUTALIST MOVEMENT #42,203,45.61333529938892,7,3,Medium,Signature,Black,Blue,Red,White
1168079,BRUTALIST MOVEMENT #76,204,44.96931834168701,7,5,Tall,Signature Plus,Black,Deep Lemon,White,Red
1168175,BRUTALIST MOVEMENT #170,205,44.798603092024386,7,8,Tall,Signature Plus,Black,Deep Lemon,White,Red
1168046,BRUTALIST MOVEMENT #43,206,44.126244053864525,7,5,Tall,Cloud Noir,Vampire Grey,Black,White,Gunsmoke
1168090,BRUTALIST MOVEMENT #87,207,44.094658018090094,7,6,Tall,Signature,Black,Blue,Red,White
1168268,BRUTALIST MOVEMENT #235,208,43.955528804201904,7,8,Tall,Cloud Noir,Vampire Grey,Black,White,Gunsmoke
1168138,BRUTALIST MOVEMENT #134,209,43.914714917094365,7,5,Tall,Signature,Black,Blue,Red,White
1168042,BRUTALIST MOVEMENT #39,210,43.811423604844904,7,7,Tall,Signature Plus,Black,Deep Lemon,White,Red
1168023,BRUTALIST MOVEMENT #20,211,42.968349317022415,7,7,Tall,Cloud Noir,Vampire Grey,Black,White,Gunsmoke
1168031,BRUTALIST MOVEMENT #28,211,42.968349317022415,7,7,Tall,Cloud Noir,Vampire Grey,Black,White,Gunsmoke
1168101,BRUTALIST MOVEMENT #98,211,42.968349317022415,7,7,Tall,Cloud Noir,Vampire Grey,Black,White,Gunsmoke
1168135,BRUTALIST MOVEMENT #131,211,42.968349317022415,7,7,Tall,Cloud Noir,Vampire Grey,Black,White,Gunsmoke
1168136,BRUTALIST MOVEMENT #132,211,42.968349317022415,7,7,Tall,Cloud Noir,Vampire Grey,Black,White,Gunsmoke
1169097,BRUTALIST MOVEMENT #250,211,42.968349317022415,7,7,Tall,Cloud Noir,Vampire Grey,Black,White,Gunsmoke
1168154,BRUTALIST MOVEMENT #149,217,42.63161462314486,7,3,Tall,Cloud Noir,Vampire Grey,Black,White,Gunsmoke
1168057,BRUTALIST MOVEMENT #54,218,42.42008548637471,7,3,Tall,Signature,Black,Blue,Red,White
1168074,BRUTALIST MOVEMENT #71,218,42.42008548637471,7,3,Tall,Signature,Black,Blue,Red,White
1168064,BRUTALIST MOVEMENT #61,220,38.57796473010857,7,5,Medium,Signature,Black,White,Blue,Red
1168233,BRUTALIST MOVEMENT #224,221,37.670069993266466,7,4,Medium,Signature,Black,White,Blue,Red
1168125,BRUTALIST MOVEMENT #121,222,37.08333529938892,7,3,Medium,Signature,Black,White,Blue,Red
1168071,BRUTALIST MOVEMENT #68,223,35.5646580180901,7,6,Tall,Signature,Black,White,Blue,Red
1168098,BRUTALIST MOVEMENT #95,223,35.5646580180901,7,6,Tall,Signature,Black,White,Blue,Red
1168115,BRUTALIST MOVEMENT #111,223,35.5646580180901,7,6,Tall,Signature,Black,White,Blue,Red
1168034,BRUTALIST MOVEMENT #31,226,35.38471491709436,7,5,Tall,Signature,Black,White,Blue,Red
1168131,BRUTALIST MOVEMENT #127,226,35.38471491709436,7,5,Tall,Signature,Black,White,Blue,Red
1168190,BRUTALIST MOVEMENT #185,226,35.38471491709436,7,5,Tall,Signature,Black,White,Blue,Red
1168006,BRUTALIST MOVEMENT #3,229,34.22682018025226,7,7,Tall,Signature,Black,White,Blue,Red
1168097,BRUTALIST MOVEMENT #94,229,34.22682018025226,7,7,Tall,Signature,Black,White,Blue,Red
1168123,BRUTALIST MOVEMENT #119,229,34.22682018025226,7,7,Tall,Signature,Black,White,Blue,Red
1168180,BRUTALIST MOVEMENT #175,229,34.22682018025226,7,7,Tall,Signature,Black,White,Blue,Red
1168060,BRUTALIST MOVEMENT #57,233,33.50119389677525,7,5,Medium,Signature,Black,Blue,White,Red
1168221,BRUTALIST MOVEMENT #216,234,32.00656446605559,7,3,Medium,Signature,Black,Blue,White,Red
