ID,Name,Rank,Rarity_Score,Attributes,Base Blocks,Height,Palette,Shadow,Sky,Sun,Window,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
1168012,BRUTALIST MOVEMENT #9,91,62.44425571923952,7,7,Tall,Tosh Two,Black,Blaze Orange,Cerulean,White,QmS3gdA2YGDdpWW2nQvnagM4S4RSZzfWgthjvsFAwsg4UV,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooYC6iTPp8kiyQ4fR71GhFdFwdQa9wPr5uXtQ9jbuyuP93rGqyT,ipfs://QmRdU6LSLgypPrNDFJ2f2KAwHxgDA8Zq7jBTsMGz8ierGL,ipfs://Qmc2WQvMvHpNt16vosCrKZL3BJ6MaTuavokzF9W67prXde
1168170,BRUTALIST MOVEMENT #165,92,62.23499065607018,7,5,Tall,Tosh Two,Indigo,Black,Cerulean,Deep Pink,QmbL92HBDfjCxkTPeug5kSemMgbQK9qghtb9pPuoaX45tb,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=oobbm8zxN6xKm4MEsTDxppnaZAjU8qUnWA2Z19h2sWRGQJuBfZ7,ipfs://QmT7cBxyuh3Tj29wBPqg475UUk95JCoUvdT5eML8UF9cAv,ipfs://QmcHkGSfzVcRKSrfRndqxV3FvM5qkXdaxWwemvBBfKmr7P
1168075,BRUTALIST MOVEMENT #72,93,61.70200570382667,7,4,Tall,Station,Thunder,Steel Blue,Flame Pea,White,QmcHo1MeBjC12bvDa2UceyEEy7rQ9ueoAhJKaw4rq9ARRz,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooTRqTaQA4uTMRptGcEfjG3921sDLyM1QdGWB5d4KwVMJUEYFzG,ipfs://QmVUH4xwCqnSoGu1Ce6wSg9MgKaDEVAjqztqA5s5PUQ7a8,ipfs://QmNtkbMU5jXfVuCXjUGcTULWWJ17wuE7pUh9BKr5shgcH7
1168204,BRUTALIST MOVEMENT #199,93,61.70200570382667,7,4,Tall,Station,Thunder,Steel Blue,Flame Pea,White,QmWzr3s2ucoBoHSUCHRYh2AbcjTKd1vvx4mcS5oCkbmyUs,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=onhKpNehQBNj1YMcSn5Zezxqf4z3p7Yr9bFtjHf1W1sNVazca5n,ipfs://QmdhXuXiZLwxK5nVA4AmiErZtVKFAJnRs7veDvudFhdhWn,ipfs://QmbTMR35vx1bWEbtyWznVrQX2XafGuh5pEkWofLsSArxf9
1168241,BRUTALIST MOVEMENT #228,93,61.70200570382667,7,4,Tall,Station,Thunder,Steel Blue,Flame Pea,White,QmQVJuDr4HBodT74PyZMnyoCjjfqRE5KhcBkPJqXcifKVd,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=opaWgE7AHDxsttyFc7qtyiu848aNGT6aUmG19jMwYZZP4PYETGt,ipfs://QmXEf6R87FG1TD2YXXTPVUG7CRnEyK5Pj1vFV1qisfRpRH,ipfs://QmaASMjXhYDxt6HdCae3hHDkwKs3iNdoSWY9Vrcig18pDx
1168109,BRUTALIST MOVEMENT #106,96,61.45200570382667,7,7,Tall,Station,Thunder,Steel Blue,Flame Pea,White,QmVmXnjxGzQNvVbdfqs5WH41Uxqp8JJ88LZy2pb6mQoPyH,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooq6ZyrxUzFd9Zf7RWB1A2k8DsV6msTMr3mw5T8zAw8YyenGh9L,ipfs://QmUsLzYhu8QCoinEiySCRp4yNZyMnP2twZCuj63j5bZGro,ipfs://QmZJ8Kd74ofpYZkQeVWurrKC1Y3U3WvocGv6KqaouWbQHo
1168132,BRUTALIST MOVEMENT #128,96,61.45200570382667,7,7,Tall,Station,Thunder,Steel Blue,Flame Pea,White,QmU9MgyFKMrPP9uG33N1UBEszcYHgaEUFzZsiyeTRpwZsg,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooUu8wgXFXHv1yZ9uDEURfnkbD2zSQ1ZDAYJ7LYRqbZ89nRcUUL,ipfs://QmaSVFH4rDqqtJ865rEUWUu7Z3ahBb7tHaxXFA6Z8sZsM9,ipfs://Qmd9RC5ik9wpp5pJgnGM1ex9pFAZ4aqwQhRaxfi1GJUxm5
1168215,BRUTALIST MOVEMENT #210,96,61.45200570382667,7,7,Tall,Station,Thunder,Steel Blue,Flame Pea,White,QmSvPHVREjWSbA3Ldz5jzeMyg3cxfbSE1zWFzTjNRZS9hX,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=opM44nN3Zvfy15e5XAHeiTF4rMmULW2fafVTD5ktijMyVZjBPbq,ipfs://QmZbJCZj2bpnuUZ9yQEzkqB5iHoZM3y3Vby3Cp4mUJWWLz,ipfs://QmdKCrsHBx5mTcXfrWfp8GJsTJgwfgRSPJnGqHYz51Nx69
1168199,BRUTALIST MOVEMENT #194,99,61.32709591922807,7,4,Tall,Tosh Two,Indigo,Black,Cerulean,Deep Pink,QmaVa3N2G141VB11b8NpxMUErX1ECxTkLAvwyVMCpjqtV6,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=onf9RwP7fPoF3ScbEPbEpbXAiXBikyC3aacUPZYvrjyDun5a9gT,ipfs://QmUotpiS47nPUz3DQWmMqcNdWg4V7NVGHA5fBFCuoys4Vc,ipfs://QmS5rmHVL5ryvzHBHKoGCyTNLXcjAwYYZpmdFykStHjPjb
1168141,BRUTALIST MOVEMENT #137,100,61.11527100994912,7,3,Tall,Station,Thunder,Steel Blue,Flame Pea,White,QmU9afQZqvoazagDjtvyqSFCgp5F5vSKG5GPm1YZCYZMAn,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=oosvqFTzgTGy2q1rbkGTqAH1onaeTjXCfXzsQ6FG3pmpVDPKAvd,ipfs://QmNoWxN5cSejPhyKXT86D5YGHxuutxKwAJuuvcV9fADefi,ipfs://QmVkBAGeTV9SgtU1yXjy39SsTv22mCmJ8M3tcJ32Q5pAfd
1168052,BRUTALIST MOVEMENT #49,101,61.07709591922807,7,7,Tall,Tosh Two,Indigo,Black,Cerulean,Deep Pink,Qmcyf6t2XomDYEqpPhEYzfq1b6hpt2VybBJRdidyTkgyeb,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=onumcmxz8TyaiawZbooECXRZzwuUtdwz9iZkKhr5BLY7jNQgNzs,ipfs://Qmad2TM5uATTP69BzgiNYenbR8aLwiRxHtTnftdW8A3Grt,ipfs://QmPfTXdur1fvaKexfMBkEqD7MyfJTiUbwYJDuRHbZ9jVoh
1168149,BRUTALIST MOVEMENT #144,101,61.07709591922807,7,7,Tall,Tosh Two,Indigo,Black,Cerulean,Deep Pink,QmbvAQ7BJj3kT8m9uPMgh5PBCw2HfAeuLg3b1qsZYKzGVx,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=oo6Q2hqcViYi81SohzosxK2iT4EMuNuJKSfTRXdniGJ4HD2zDXT,ipfs://QmYh2qR8FVM2icVuQgF7FKqjXNy2ttrxX6o9SC1jz37M4s,ipfs://QmexrstxnE86ttBKFtW7gy2njQJy2Xq5azEUJaDcBmMQCK
1168169,BRUTALIST MOVEMENT #164,103,61.07375194350014,7,8,Medium,Signature Plus,Black,White,Blue,Deep Lemon,QmSHbAC7YaQkdvTxkUsLMfawonQh8eKFFBWKRLBiM2WYf8,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=ooXLkZN5rHHp6UMGe9UPsXMfppEgWFFTuyzwpTSPZyNpRppvwp3,ipfs://QmT5nEM4t8WGtjX4a1XNXz6uwUcxxfUcceTTuuQbrt74zk,ipfs://QmNwC8w5GZKjK8sGYWYoMp2Mv2KkbRouzt48veo8m5zZLN
1168357,BRUTALIST MOVEMENT #244,104,61.02413171130301,7,6,Tall,Comodo,Black,Moody Blue,White,Blueberry,QmZqm4gmb83QCYjBg2RgvKzSi3nrzvtjyDCwPPZK2v82My,ipfs://QmcjxmS5zZEtTzkAn3VT9NoVJ2PXKbBPi5GgxisfyiWevj?fxhash=oon4BPL8dyPiQ6agJrWVJx9ZDmYzAukA6cPUNgK83kfmZiKjU5j,ipfs://QmWS1FkVAyatMp325i2u6bSUL7UDRMxuAierc1aVEozZJE,ipfs://QmW6kSq1CPnxRnbFnXRonUwxC7hHTCBdTPtzdYfvz4ZD6z
