ID,Name,Rank,Rarity_Score,Acid,Attributes,Background color,Bubbles?,Color palette,Color variation,Deposit,Discrete division,Discrete turns,Displacement level (0-9),Division angle,Division chances,How are you?,Inverted,Mutation,Pointillism,Spike level (0-9),Stripe level (0-9),Termination chances,Termination threshold,Tinge palette,Turn,You smell,Your hotness 1-10,can I touch the bubble?,ooOo0ooOO?,ooh?,oooh?,you are,IPFS_URI,Artifact_URI,Display_URI,Thumbnail URI
19363,FXHASH Logo with Features #750,25,103.05829999558526,False,13,None,None,None,very low,normal,True,False,None,low,normal,None,False,low,True,None,None,very high,normal,None,high,None,None,None,None,None,None,None,QmZq79RdQLiSESFQYGrNDydeNfGmYZcjEpybkhLbzyfNYz,ipfs://QmXqPohXsAE9uqAGQJgSE5tAiw3xaY11mqM9R6yrvZZTm5,ipfs://QmW7GccbwFVrgVDqNPZYLkCykcWKw6MRuC9D2JAb21msXy,ipfs://QmfWWuyf3LNMhRtnEcuXEeCXVZECGgeE1qVWp32gnrRizq
18494,FXHASH Logo with Features #622,26,101.55318367267817,False,13,None,None,None,very low,very high,True,True,None,low,normal,None,False,very high,False,None,None,low,very low,None,very high,None,None,None,None,None,None,None,QmeRyzu3qfQ4FuHooSQwUmdjU4XGrvEmeG6dqK8wZ7pT3e,ipfs://QmXKM156pp1LtHVBtDSyCRY1ujmAmUkbNzcjnh1qUFNwXA,ipfs://QmcZ4MWBnqzStGPQ2oTPTnVpN19zaoCJjkEpEkWZSxHWj4,ipfs://QmQ32ynx7T9L46zBkUHMzEjkRCiDoGatnEXynbi2ir4CSr
17465,FXHASH Logo with Features #551,27,100.8782416030069,False,13,None,None,None,very low,normal,True,False,None,very low,high,None,False,very high,False,None,None,very high,very high,None,very high,None,None,None,None,None,None,None,QmQzs82uxTRwnkgzvWtCBYt22UGdm5nvMGUpdtfuB7iAep,ipfs://QmNqqPCRDLEeHJZGy9pWtryF3T6wbnGk92mQu3vcMTvPZA,ipfs://QmaLKcZMnJwX6WFaQGB3saDUVLRXDSeW5qLLuyyLEPtnQ5,ipfs://QmREyh4CLwzj6fJc2hvNrjuE5fzZCMQZprUadE1SM4XuqN
17310,FXHASH Logo with Features #540,28,100.85428615360435,False,13,None,None,None,very low,very high,False,False,None,high,high,None,False,very high,False,None,None,low,low,None,very high,None,None,None,None,None,None,None,QmainUTyfQrna3L6b3itDXMP5YAmWGdzvVc6fbvzUsTYfy,ipfs://QmcDfs8yxAnAXyPQfn82tRYgWXd8AnAsR5hQEoMp4CXyTE,ipfs://QmTnE6BAPzhrmGDeq9uvxLevq6c6Y6r5tVrJJerpxdgpmH,ipfs://Qmej3WzKmUSfFA3da82rgBVrRTkYCRtpnuYWAKWmgsCWtd
17398,FXHASH Logo with Features #546,29,100.68369314155032,False,13,None,None,None,very low,very low,True,True,None,high,low,None,False,low,False,None,None,high,very low,None,very high,None,None,None,None,None,None,None,QmTuHz72J9QkrriH3BbNAJkhcoRp5b5fXyvqfJQ8EzH7CD,ipfs://QmWotGef9Mpmt2uq1WYxvxrrqETZJ8yywrhi8P3EKJHd5B,ipfs://QmQR9gDEWPvoQv4CUCi9ejsuqmJdDMyu7WXnzkbdcKT5w8,ipfs://QmVpsnh6Rss5BFi6rXfLKmnGTtZoVwMYpxVZk6W8QtmUHR
14327,FXHASH Logo with Features #459,30,100.65816987052912,False,13,None,None,None,very low,low,True,True,None,low,normal,None,False,low,False,None,None,very high,very low,None,very high,None,None,None,None,None,None,None,QmShqptP8jsNRB7ex2yk4tdFJYNaFWjTarkm7nxe183vPj,ipfs://Qmf3bsnzKDA1NftwYKN4iLJDeC4HnZDZ2bUbEqajGVQ2Db,ipfs://QmeHgtonpHusHMqD41UHfoRopfZGLcuHwmiZkoBKnG8ZtG,ipfs://QmbV3iUUFPeFs4LuxSFHYZG2Nq8mXut2EDegACFkZ7FzLo
11526,FXHASH Logo with Features #387,31,100.54413781247044,False,13,None,None,None,very low,very low,False,False,None,very high,very low,None,False,normal,False,None,None,very low,normal,None,very high,None,None,None,None,None,None,None,QmPphS8zU1Ru93umKFCJo9rMcr5GBKnEMCva7xgEEXAB9N,ipfs://QmQCDY8TRLX25CdvWKaFxU22LN5wXCS1z9on7xPyhbCM6g,ipfs://QmWbqBae6ozAbzQta99Ph1nnM9Qcbso2Bw6iCpcAfxR8wx,ipfs://QmXNQik7R4BBSb2db27e33yZB7mFCTmahGoSHtt7eodAaf
2296,FXHASH Logo with Features #143,32,100.28156707100827,False,13,None,None,None,very low,very low,True,False,None,very high,very low,None,False,very low,False,None,None,very high,high,None,very high,None,None,None,None,None,None,None,QmRngrpUAGwQRU1EHz76Rk3sVFaqVvgjzMUFc3DwSR5Rd5,ipfs://QmV9aFDsRf5owFReRPCK8q385s82zp411c7Cg2YY9aTBox,ipfs://QmQEP3Rkq7ZjG3ANuPAA6QmqtPReVNuSQfaRH5BcGJvVhC,ipfs://QmQC3BMFAKH1TSW5K2ETj1eJ5bkkBb6Zs4PvmryJrN8Wi8
1981,FXHASH Logo with Features #124,33,100.09776625426561,False,13,None,None,None,very low,normal,False,True,None,very low,high,None,False,high,False,None,None,very high,normal,None,very high,None,None,None,None,None,None,None,QmXpHARt6rxTUw5AFqecBDoNQdoL11XY8pJPoV2TsAyo7m,ipfs://QmY4pEcSeCksrWeGL26GNWR1qHQznmCcN3F87quUa2bsJn,ipfs://QmTLMAfCd88WW93aVf3TMaJD9WowCKbRmoCtkEjQi7RuXs,ipfs://QmXFBdZdjjCubuna5MdnE5k9apKVVtci7iGA6RuuT3WJff
17893,FXHASH Logo with Features #582,34,100.09670749754433,False,13,None,None,None,very low,very low,True,True,None,low,high,None,False,high,False,None,None,high,normal,None,very high,None,None,None,None,None,None,None,QmZojzjVw4KgX5hpboeh2Ei9g1SbTow7nTQbxvdvcgq4e2,ipfs://QmSM2S1Zduz3Dd4oGQ7XWhwHBxZhjq2Dx7Vhmy3tbN3dk9,ipfs://QmdvMgcSkdUTyVyDrQZGDFYhRJWWwoMqJxwVCgtx5WB8gZ,ipfs://QmaZQMKYsnf9xHgkD7zWRtTVTvQZXvyNsdWrSzBN4jYQ7R
